psychotic,isPartial,date
0,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
48,False,2019-09-15
64,False,2019-09-22
48,False,2019-09-29
0,False,2019-10-06
100,False,2019-10-13
49,False,2019-10-20
47,False,2019-10-27
48,False,2019-11-03
49,False,2019-11-10
49,False,2019-11-17
51,False,2019-11-24
49,False,2019-12-01
50,False,2019-12-08
50,False,2019-12-15
0,False,2019-12-22
51,False,2019-12-29
49,False,2020-01-05
46,False,2020-01-12
49,False,2020-01-19
0,False,2020-01-26
48,False,2020-02-02
96,False,2020-02-09
50,False,2020-02-16
0,False,2020-02-23
91,False,2020-03-01
91,False,2020-03-08
0,False,2020-03-15
68,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
40,False,2020-04-19
39,False,2020-04-26
39,False,2020-05-03
40,False,2020-05-10
0,False,2020-05-17
42,False,2020-05-24
40,False,2020-05-31
42,False,2020-06-07
0,False,2020-06-14
86,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
43,False,2020-07-19
42,False,2020-07-26
42,False,2020-08-02
43,False,2020-08-09
0,True,2020-08-16
