psychotic,isPartial,date
64,False,2019-09-08
32,False,2019-09-15
32,False,2019-09-22
32,False,2019-09-29
33,False,2019-10-06
65,False,2019-10-13
75,False,2019-10-20
33,False,2019-10-27
48,False,2019-11-03
52,False,2019-11-10
64,False,2019-11-17
100,False,2019-11-24
31,False,2019-12-01
32,False,2019-12-08
33,False,2019-12-15
36,False,2019-12-22
33,False,2019-12-29
62,False,2020-01-05
44,False,2020-01-12
41,False,2020-01-19
40,False,2020-01-26
39,False,2020-02-02
30,False,2020-02-09
29,False,2020-02-16
29,False,2020-02-23
42,False,2020-03-01
73,False,2020-03-08
29,False,2020-03-15
55,False,2020-03-22
55,False,2020-03-29
56,False,2020-04-05
27,False,2020-04-12
51,False,2020-04-19
27,False,2020-04-26
45,False,2020-05-03
0,False,2020-05-10
27,False,2020-05-17
45,False,2020-05-24
82,False,2020-05-31
40,False,2020-06-07
28,False,2020-06-14
28,False,2020-06-21
49,False,2020-06-28
59,False,2020-07-05
30,False,2020-07-12
90,False,2020-07-19
30,False,2020-07-26
30,False,2020-08-02
30,False,2020-08-09
30,False,2020-08-16
29,False,2020-08-23
0,True,2020-08-30
