delusion,isPartial,date
28,False,2019-08-25
41,False,2019-09-01
53,False,2019-09-08
70,False,2019-09-15
70,False,2019-09-22
27,False,2019-09-29
42,False,2019-10-06
54,False,2019-10-13
100,False,2019-10-20
42,False,2019-10-27
27,False,2019-11-03
26,False,2019-11-10
65,False,2019-11-17
67,False,2019-11-24
51,False,2019-12-01
27,False,2019-12-08
54,False,2019-12-15
29,False,2019-12-22
27,False,2019-12-29
34,False,2020-01-05
88,False,2020-01-12
39,False,2020-01-19
34,False,2020-01-26
25,False,2020-02-02
51,False,2020-02-09
65,False,2020-02-16
61,False,2020-02-23
48,False,2020-03-01
47,False,2020-03-08
56,False,2020-03-15
58,False,2020-03-22
46,False,2020-03-29
23,False,2020-04-05
69,False,2020-04-12
37,False,2020-04-19
87,False,2020-04-26
68,False,2020-05-03
23,False,2020-05-10
68,False,2020-05-17
54,False,2020-05-24
58,False,2020-05-31
66,False,2020-06-07
46,False,2020-06-14
48,False,2020-06-21
25,False,2020-06-28
75,False,2020-07-05
52,False,2020-07-12
38,False,2020-07-19
67,False,2020-07-26
25,False,2020-08-02
26,False,2020-08-09
44,True,2020-08-16
