psychotic,isPartial,date
86,False,2019-08-25
82,False,2019-09-01
82,False,2019-09-08
88,False,2019-09-15
79,False,2019-09-22
87,False,2019-09-29
87,False,2019-10-06
98,False,2019-10-13
96,False,2019-10-20
89,False,2019-10-27
100,False,2019-11-03
95,False,2019-11-10
95,False,2019-11-17
84,False,2019-11-24
89,False,2019-12-01
90,False,2019-12-08
77,False,2019-12-15
72,False,2019-12-22
86,False,2019-12-29
80,False,2020-01-05
82,False,2020-01-12
84,False,2020-01-19
85,False,2020-01-26
84,False,2020-02-02
86,False,2020-02-09
88,False,2020-02-16
84,False,2020-02-23
93,False,2020-03-01
85,False,2020-03-08
69,False,2020-03-15
68,False,2020-03-22
80,False,2020-03-29
86,False,2020-04-05
88,False,2020-04-12
88,False,2020-04-19
84,False,2020-04-26
88,False,2020-05-03
85,False,2020-05-10
78,False,2020-05-17
82,False,2020-05-24
78,False,2020-05-31
76,False,2020-06-07
85,False,2020-06-14
94,False,2020-06-21
77,False,2020-06-28
84,False,2020-07-05
92,False,2020-07-12
89,False,2020-07-19
88,False,2020-07-26
82,False,2020-08-02
98,False,2020-08-09
87,True,2020-08-16
