suicide -squad,isPartial,date
76,False,2019-01-06
53,False,2019-01-13
95,False,2019-01-20
64,False,2019-01-27
67,False,2019-02-03
67,False,2019-02-10
70,False,2019-02-17
72,False,2019-02-24
75,False,2019-03-03
45,False,2019-03-10
66,False,2019-03-17
70,False,2019-03-24
74,False,2019-03-31
71,False,2019-04-07
79,False,2019-04-14
91,False,2019-04-21
53,False,2019-04-28
90,False,2019-05-05
70,False,2019-05-12
61,False,2019-05-19
81,False,2019-05-26
64,False,2019-06-02
64,False,2019-06-09
57,False,2019-06-16
62,False,2019-06-23
79,False,2019-06-30
69,False,2019-07-07
71,False,2019-07-14
67,False,2019-07-21
58,False,2019-07-28
78,False,2019-08-04
61,False,2019-08-11
74,False,2019-08-18
68,False,2019-08-25
61,False,2019-09-01
67,False,2019-09-08
70,False,2019-09-15
78,False,2019-09-22
83,False,2019-09-29
57,False,2019-10-06
92,False,2019-10-13
54,False,2019-10-20
76,False,2019-10-27
72,False,2019-11-03
97,False,2019-11-10
70,False,2019-11-17
92,False,2019-11-24
97,False,2019-12-01
82,False,2019-12-08
77,False,2019-12-15
76,False,2019-12-22
55,False,2019-12-29
56,False,2020-01-05
57,False,2020-01-12
44,False,2020-01-19
44,False,2020-01-26
46,False,2020-02-02
51,False,2020-02-09
82,False,2020-02-16
61,False,2020-02-23
49,False,2020-03-01
56,False,2020-03-08
41,False,2020-03-15
53,False,2020-03-22
58,False,2020-03-29
48,False,2020-04-05
31,False,2020-04-12
37,False,2020-04-19
57,False,2020-04-26
40,False,2020-05-03
53,False,2020-05-10
57,False,2020-05-17
91,False,2020-05-24
70,False,2020-05-31
63,False,2020-06-07
71,False,2020-06-14
68,False,2020-06-21
64,False,2020-06-28
82,False,2020-07-05
100,False,2020-07-12
100,False,2020-07-19
83,False,2020-07-26
79,False,2020-08-02
44,False,2020-08-09
34,False,2020-08-16
66,False,2020-08-23
65,False,2020-08-30
