how to commit suicide,isPartial,date
0,False,2019-09-08
33,False,2019-09-15
33,False,2019-09-22
33,False,2019-09-29
69,False,2019-10-06
33,False,2019-10-13
33,False,2019-10-20
33,False,2019-10-27
32,False,2019-11-03
32,False,2019-11-10
0,False,2019-11-17
32,False,2019-11-24
31,False,2019-12-01
32,False,2019-12-08
33,False,2019-12-15
0,False,2019-12-22
100,False,2019-12-29
31,False,2020-01-05
30,False,2020-01-12
0,False,2020-01-19
30,False,2020-01-26
30,False,2020-02-02
30,False,2020-02-09
30,False,2020-02-16
29,False,2020-02-23
57,False,2020-03-01
44,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
27,False,2020-04-12
40,False,2020-04-19
40,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
28,False,2020-05-17
29,False,2020-05-24
27,False,2020-05-31
28,False,2020-06-07
28,False,2020-06-14
29,False,2020-06-21
0,False,2020-06-28
30,False,2020-07-05
0,False,2020-07-12
31,False,2020-07-19
0,False,2020-07-26
29,False,2020-08-02
0,False,2020-08-09
28,False,2020-08-16
28,False,2020-08-23
0,True,2020-08-30
