how to kill yourself,isPartial,date
43,False,2019-09-08
58,False,2019-09-15
0,False,2019-09-22
29,False,2019-09-29
31,False,2019-10-06
29,False,2019-10-13
29,False,2019-10-20
49,False,2019-10-27
0,False,2019-11-03
43,False,2019-11-10
0,False,2019-11-17
29,False,2019-11-24
0,False,2019-12-01
48,False,2019-12-08
29,False,2019-12-15
46,False,2019-12-22
29,False,2019-12-29
28,False,2020-01-05
53,False,2020-01-12
27,False,2020-01-19
27,False,2020-01-26
54,False,2020-02-02
0,False,2020-02-09
40,False,2020-02-16
0,False,2020-02-23
26,False,2020-03-01
26,False,2020-03-08
25,False,2020-03-15
25,False,2020-03-22
23,False,2020-03-29
24,False,2020-04-05
47,False,2020-04-12
35,False,2020-04-19
24,False,2020-04-26
0,False,2020-05-03
24,False,2020-05-10
100,False,2020-05-17
38,False,2020-05-24
48,False,2020-05-31
0,False,2020-06-07
50,False,2020-06-14
26,False,2020-06-21
53,False,2020-06-28
27,False,2020-07-05
0,False,2020-07-12
54,False,2020-07-19
27,False,2020-07-26
25,False,2020-08-02
25,False,2020-08-09
50,False,2020-08-16
24,False,2020-08-23
0,True,2020-08-30
