i want to die,isPartial,date
27,False,2015-09-20
27,False,2015-09-27
27,False,2015-10-04
0,False,2015-10-11
54,False,2015-10-18
27,False,2015-10-25
27,False,2015-11-01
28,False,2015-11-08
41,False,2015-11-15
28,False,2015-11-22
27,False,2015-11-29
27,False,2015-12-06
28,False,2015-12-13
31,False,2015-12-20
0,False,2015-12-27
36,False,2016-01-03
35,False,2016-01-10
47,False,2016-01-17
24,False,2016-01-24
23,False,2016-01-31
23,False,2016-02-07
23,False,2016-02-14
23,False,2016-02-21
23,False,2016-02-28
23,False,2016-03-06
48,False,2016-03-13
46,False,2016-03-20
31,False,2016-03-27
69,False,2016-04-03
23,False,2016-04-10
23,False,2016-04-17
35,False,2016-04-24
23,False,2016-05-01
0,False,2016-05-08
25,False,2016-05-15
38,False,2016-05-22
0,False,2016-05-29
33,False,2016-06-05
25,False,2016-06-12
25,False,2016-06-19
25,False,2016-06-26
0,False,2016-07-03
39,False,2016-07-10
25,False,2016-07-17
26,False,2016-07-24
51,False,2016-07-31
26,False,2016-08-07
26,False,2016-08-14
25,False,2016-08-21
24,False,2016-08-28
85,False,2016-09-04
47,False,2016-09-11
59,False,2016-09-18
23,False,2016-09-25
47,False,2016-10-02
32,False,2016-10-09
48,False,2016-10-16
23,False,2016-10-23
70,False,2016-10-30
43,False,2016-11-06
0,False,2016-11-13
0,False,2016-11-20
44,False,2016-11-27
22,False,2016-12-04
22,False,2016-12-11
23,False,2016-12-18
31,False,2016-12-25
34,False,2017-01-01
32,False,2017-01-08
28,False,2017-01-15
21,False,2017-01-22
20,False,2017-01-29
42,False,2017-02-05
27,False,2017-02-12
61,False,2017-02-19
20,False,2017-02-26
41,False,2017-03-05
34,False,2017-03-12
61,False,2017-03-19
31,False,2017-03-26
41,False,2017-04-02
21,False,2017-04-09
21,False,2017-04-16
62,False,2017-04-23
49,False,2017-04-30
64,False,2017-05-07
30,False,2017-05-14
80,False,2017-05-21
23,False,2017-05-28
34,False,2017-06-04
57,False,2017-06-11
43,False,2017-06-18
47,False,2017-06-25
24,False,2017-07-02
34,False,2017-07-09
23,False,2017-07-16
34,False,2017-07-23
33,False,2017-07-30
35,False,2017-08-06
21,False,2017-08-13
41,False,2017-08-20
48,False,2017-08-27
27,False,2017-09-03
60,False,2017-09-10
50,False,2017-09-17
31,False,2017-09-24
0,False,2017-10-01
42,False,2017-10-08
28,False,2017-10-15
31,False,2017-10-22
51,False,2017-10-29
34,False,2017-11-05
51,False,2017-11-12
21,False,2017-11-19
40,False,2017-11-26
20,False,2017-12-03
21,False,2017-12-10
29,False,2017-12-17
23,False,2017-12-24
43,False,2017-12-31
59,False,2018-01-07
26,False,2018-01-14
29,False,2018-01-21
32,False,2018-01-28
38,False,2018-02-04
48,False,2018-02-11
32,False,2018-02-18
48,False,2018-02-25
32,False,2018-03-04
29,False,2018-03-11
46,False,2018-03-18
20,False,2018-03-25
40,False,2018-04-01
20,False,2018-04-08
39,False,2018-04-15
78,False,2018-04-22
46,False,2018-04-29
59,False,2018-05-06
40,False,2018-05-13
52,False,2018-05-20
43,False,2018-05-27
32,False,2018-06-03
21,False,2018-06-10
35,False,2018-06-17
42,False,2018-06-24
29,False,2018-07-01
0,False,2018-07-08
21,False,2018-07-15
31,False,2018-07-22
41,False,2018-07-29
34,False,2018-08-05
30,False,2018-08-12
41,False,2018-08-19
70,False,2018-08-26
100,False,2018-09-02
46,False,2018-09-09
33,False,2018-09-16
59,False,2018-09-23
20,False,2018-09-30
42,False,2018-10-07
41,False,2018-10-14
34,False,2018-10-21
41,False,2018-10-28
28,False,2018-11-04
20,False,2018-11-11
21,False,2018-11-18
33,False,2018-11-25
20,False,2018-12-02
40,False,2018-12-09
31,False,2018-12-16
22,False,2018-12-23
21,False,2018-12-30
29,False,2019-01-06
19,False,2019-01-13
19,False,2019-01-20
46,False,2019-01-27
37,False,2019-02-03
49,False,2019-02-10
27,False,2019-02-17
43,False,2019-02-24
19,False,2019-03-03
38,False,2019-03-10
52,False,2019-03-17
31,False,2019-03-24
19,False,2019-03-31
0,False,2019-04-07
49,False,2019-04-14
20,False,2019-04-21
19,False,2019-04-28
33,False,2019-05-05
27,False,2019-05-12
42,False,2019-05-19
21,False,2019-05-26
20,False,2019-06-02
27,False,2019-06-09
42,False,2019-06-16
31,False,2019-06-23
21,False,2019-06-30
31,False,2019-07-07
21,False,2019-07-14
42,False,2019-07-21
48,False,2019-07-28
53,False,2019-08-04
29,False,2019-08-11
19,False,2019-08-18
25,False,2019-08-25
18,False,2019-09-01
36,False,2019-09-08
36,False,2019-09-15
18,False,2019-09-22
31,False,2019-09-29
19,False,2019-10-06
37,False,2019-10-13
18,False,2019-10-20
18,False,2019-10-27
24,False,2019-11-03
26,False,2019-11-10
26,False,2019-11-17
27,False,2019-11-24
29,False,2019-12-01
54,False,2019-12-08
18,False,2019-12-15
26,False,2019-12-22
37,False,2019-12-29
18,False,2020-01-05
49,False,2020-01-12
17,False,2020-01-19
33,False,2020-01-26
33,False,2020-02-02
33,False,2020-02-09
27,False,2020-02-16
16,False,2020-02-23
40,False,2020-03-01
24,False,2020-03-08
0,False,2020-03-15
15,False,2020-03-22
37,False,2020-03-29
30,False,2020-04-05
15,False,2020-04-12
15,False,2020-04-19
15,False,2020-04-26
30,False,2020-05-03
15,False,2020-05-10
15,False,2020-05-17
32,False,2020-05-24
15,False,2020-05-31
31,False,2020-06-07
31,False,2020-06-14
32,False,2020-06-21
27,False,2020-06-28
25,False,2020-07-05
33,False,2020-07-12
25,False,2020-07-19
33,False,2020-07-26
24,False,2020-08-02
0,False,2020-08-09
26,False,2020-08-16
31,False,2020-08-23
31,False,2020-08-30
24,False,2020-09-06
37,True,2020-09-13
