suicidal,isPartial,date
73,False,2015-09-20
62,False,2015-09-27
63,False,2015-10-04
33,False,2015-10-11
47,False,2015-10-18
44,False,2015-10-25
44,False,2015-11-01
56,False,2015-11-08
50,False,2015-11-15
31,False,2015-11-22
32,False,2015-11-29
64,False,2015-12-06
68,False,2015-12-13
38,False,2015-12-20
55,False,2015-12-27
45,False,2016-01-03
31,False,2016-01-10
48,False,2016-01-17
38,False,2016-01-24
44,False,2016-01-31
40,False,2016-02-07
69,False,2016-02-14
47,False,2016-02-21
65,False,2016-02-28
47,False,2016-03-06
29,False,2016-03-13
53,False,2016-03-20
41,False,2016-03-27
34,False,2016-04-03
50,False,2016-04-10
28,False,2016-04-17
69,False,2016-04-24
44,False,2016-05-01
49,False,2016-05-08
59,False,2016-05-15
62,False,2016-05-22
55,False,2016-05-29
37,False,2016-06-05
20,False,2016-06-12
67,False,2016-06-19
27,False,2016-06-26
54,False,2016-07-03
31,False,2016-07-10
31,False,2016-07-17
58,False,2016-07-24
56,False,2016-07-31
42,False,2016-08-07
43,False,2016-08-14
25,False,2016-08-21
35,False,2016-08-28
55,False,2016-09-04
57,False,2016-09-11
54,False,2016-09-18
38,False,2016-09-25
35,False,2016-10-02
46,False,2016-10-09
58,False,2016-10-16
53,False,2016-10-23
47,False,2016-10-30
32,False,2016-11-06
53,False,2016-11-13
38,False,2016-11-20
39,False,2016-11-27
49,False,2016-12-04
24,False,2016-12-11
24,False,2016-12-18
35,False,2016-12-25
43,False,2017-01-01
35,False,2017-01-08
26,False,2017-01-15
42,False,2017-01-22
36,False,2017-01-29
42,False,2017-02-05
41,False,2017-02-12
41,False,2017-02-19
42,False,2017-02-26
30,False,2017-03-05
31,False,2017-03-12
44,False,2017-03-19
33,False,2017-03-26
36,False,2017-04-02
64,False,2017-04-09
56,False,2017-04-16
64,False,2017-04-23
39,False,2017-04-30
49,False,2017-05-07
54,False,2017-05-14
37,False,2017-05-21
22,False,2017-05-28
52,False,2017-06-04
49,False,2017-06-11
38,False,2017-06-18
50,False,2017-06-25
42,False,2017-07-02
44,False,2017-07-09
46,False,2017-07-16
55,False,2017-07-23
53,False,2017-07-30
52,False,2017-08-06
37,False,2017-08-13
28,False,2017-08-20
44,False,2017-08-27
22,False,2017-09-03
41,False,2017-09-10
49,False,2017-09-17
39,False,2017-09-24
58,False,2017-10-01
63,False,2017-10-08
48,False,2017-10-15
50,False,2017-10-22
44,False,2017-10-29
47,False,2017-11-05
30,False,2017-11-12
51,False,2017-11-19
40,False,2017-11-26
44,False,2017-12-03
42,False,2017-12-10
26,False,2017-12-17
22,False,2017-12-24
29,False,2017-12-31
32,False,2018-01-07
37,False,2018-01-14
58,False,2018-01-21
39,False,2018-01-28
44,False,2018-02-04
28,False,2018-02-11
36,False,2018-02-18
69,False,2018-02-25
55,False,2018-03-04
40,False,2018-03-11
24,False,2018-03-18
32,False,2018-03-25
56,False,2018-04-01
45,False,2018-04-08
40,False,2018-04-15
53,False,2018-04-22
48,False,2018-04-29
27,False,2018-05-06
38,False,2018-05-13
42,False,2018-05-20
41,False,2018-05-27
60,False,2018-06-03
50,False,2018-06-10
59,False,2018-06-17
43,False,2018-06-24
44,False,2018-07-01
50,False,2018-07-08
43,False,2018-07-15
25,False,2018-07-22
56,False,2018-07-29
50,False,2018-08-05
41,False,2018-08-12
71,False,2018-08-19
43,False,2018-08-26
100,False,2018-09-02
71,False,2018-09-09
80,False,2018-09-16
37,False,2018-09-23
35,False,2018-09-30
48,False,2018-10-07
36,False,2018-10-14
36,False,2018-10-21
50,False,2018-10-28
56,False,2018-11-04
44,False,2018-11-11
42,False,2018-11-18
63,False,2018-11-25
29,False,2018-12-02
38,False,2018-12-09
42,False,2018-12-16
45,False,2018-12-23
38,False,2018-12-30
31,False,2019-01-06
31,False,2019-01-13
48,False,2019-01-20
45,False,2019-01-27
52,False,2019-02-03
37,False,2019-02-10
39,False,2019-02-17
52,False,2019-02-24
59,False,2019-03-03
34,False,2019-03-10
55,False,2019-03-17
38,False,2019-03-24
44,False,2019-03-31
37,False,2019-04-07
45,False,2019-04-14
48,False,2019-04-21
47,False,2019-04-28
51,False,2019-05-05
35,False,2019-05-12
45,False,2019-05-19
25,False,2019-05-26
25,False,2019-06-02
30,False,2019-06-09
39,False,2019-06-16
44,False,2019-06-23
48,False,2019-06-30
44,False,2019-07-07
39,False,2019-07-14
48,False,2019-07-21
28,False,2019-07-28
37,False,2019-08-04
