suicidal thoughts,isPartial,date
42,False,2015-09-20
28,False,2015-09-27
38,False,2015-10-04
28,False,2015-10-11
42,False,2015-10-18
0,False,2015-10-25
38,False,2015-11-01
57,False,2015-11-08
57,False,2015-11-15
44,False,2015-11-22
0,False,2015-11-29
27,False,2015-12-06
58,False,2015-12-13
0,False,2015-12-20
30,False,2015-12-27
41,False,2016-01-03
24,False,2016-01-10
25,False,2016-01-17
33,False,2016-01-24
48,False,2016-01-31
48,False,2016-02-07
24,False,2016-02-14
24,False,2016-02-21
24,False,2016-02-28
24,False,2016-03-06
25,False,2016-03-13
24,False,2016-03-20
24,False,2016-03-27
24,False,2016-04-03
24,False,2016-04-10
48,False,2016-04-17
36,False,2016-04-24
49,False,2016-05-01
100,False,2016-05-08
51,False,2016-05-15
53,False,2016-05-22
27,False,2016-05-29
39,False,2016-06-05
43,False,2016-06-12
52,False,2016-06-19
26,False,2016-06-26
28,False,2016-07-03
27,False,2016-07-10
0,False,2016-07-17
53,False,2016-07-24
27,False,2016-07-31
82,False,2016-08-07
28,False,2016-08-14
61,False,2016-08-21
50,False,2016-08-28
25,False,2016-09-04
37,False,2016-09-11
74,False,2016-09-18
49,False,2016-09-25
25,False,2016-10-02
42,False,2016-10-09
37,False,2016-10-16
49,False,2016-10-23
41,False,2016-10-30
30,False,2016-11-06
32,False,2016-11-13
33,False,2016-11-20
23,False,2016-11-27
34,False,2016-12-04
0,False,2016-12-11
49,False,2016-12-18
25,False,2016-12-25
36,False,2017-01-01
22,False,2017-01-08
29,False,2017-01-15
22,False,2017-01-22
32,False,2017-01-29
32,False,2017-02-05
56,False,2017-02-12
43,False,2017-02-19
21,False,2017-02-26
42,False,2017-03-05
21,False,2017-03-12
43,False,2017-03-19
50,False,2017-03-26
21,False,2017-04-02
29,False,2017-04-09
58,False,2017-04-16
43,False,2017-04-23
65,False,2017-04-30
22,False,2017-05-07
23,False,2017-05-14
24,False,2017-05-21
37,False,2017-05-28
32,False,2017-06-04
40,False,2017-06-11
23,False,2017-06-18
61,False,2017-06-25
38,False,2017-07-02
40,False,2017-07-09
24,False,2017-07-16
32,False,2017-07-23
45,False,2017-07-30
44,False,2017-08-06
22,False,2017-08-13
21,False,2017-08-20
32,False,2017-08-27
0,False,2017-09-03
0,False,2017-09-10
21,False,2017-09-17
36,False,2017-09-24
43,False,2017-10-01
30,False,2017-10-08
36,False,2017-10-15
21,False,2017-10-22
32,False,2017-10-29
21,False,2017-11-05
21,False,2017-11-12
22,False,2017-11-19
31,False,2017-11-26
42,False,2017-12-03
22,False,2017-12-10
0,False,2017-12-17
48,False,2017-12-24
22,False,2017-12-31
41,False,2018-01-07
20,False,2018-01-14
20,False,2018-01-21
20,False,2018-01-28
60,False,2018-02-04
40,False,2018-02-11
50,False,2018-02-18
59,False,2018-02-25
81,False,2018-03-04
34,False,2018-03-11
41,False,2018-03-18
41,False,2018-03-25
21,False,2018-04-01
30,False,2018-04-08
41,False,2018-04-15
27,False,2018-04-22
21,False,2018-04-29
21,False,2018-05-06
53,False,2018-05-13
33,False,2018-05-20
22,False,2018-05-27
33,False,2018-06-03
75,False,2018-06-10
33,False,2018-06-17
33,False,2018-06-24
34,False,2018-07-01
21,False,2018-07-08
22,False,2018-07-15
29,False,2018-07-22
43,False,2018-07-29
21,False,2018-08-05
42,False,2018-08-12
35,False,2018-08-19
42,False,2018-08-26
42,False,2018-09-02
54,False,2018-09-09
21,False,2018-09-16
41,False,2018-09-23
62,False,2018-09-30
22,False,2018-10-07
21,False,2018-10-14
28,False,2018-10-21
21,False,2018-10-28
26,False,2018-11-04
21,False,2018-11-11
43,False,2018-11-18
31,False,2018-11-25
31,False,2018-12-02
21,False,2018-12-09
21,False,2018-12-16
35,False,2018-12-23
54,False,2018-12-30
20,False,2019-01-06
60,False,2019-01-13
20,False,2019-01-20
32,False,2019-01-27
38,False,2019-02-03
57,False,2019-02-10
19,False,2019-02-17
25,False,2019-02-24
27,False,2019-03-03
80,False,2019-03-10
40,False,2019-03-17
29,False,2019-03-24
27,False,2019-03-31
20,False,2019-04-07
31,False,2019-04-14
41,False,2019-04-21
20,False,2019-04-28
42,False,2019-05-05
31,False,2019-05-12
22,False,2019-05-19
22,False,2019-05-26
21,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
21,False,2019-06-23
44,False,2019-06-30
0,False,2019-07-07
36,False,2019-07-14
32,False,2019-07-21
22,False,2019-07-28
21,False,2019-08-04
30,False,2019-08-11
40,False,2019-08-18
26,False,2019-08-25
38,False,2019-09-01
38,False,2019-09-08
28,False,2019-09-15
47,False,2019-09-22
39,False,2019-09-29
26,False,2019-10-06
51,False,2019-10-13
19,False,2019-10-20
29,False,2019-10-27
19,False,2019-11-03
28,False,2019-11-10
43,False,2019-11-17
31,False,2019-11-24
46,False,2019-12-01
66,False,2019-12-08
57,False,2019-12-15
30,False,2019-12-22
0,False,2019-12-29
55,False,2020-01-05
17,False,2020-01-12
36,False,2020-01-19
41,False,2020-01-26
52,False,2020-02-02
17,False,2020-02-09
43,False,2020-02-16
83,False,2020-02-23
42,False,2020-03-01
33,False,2020-03-08
22,False,2020-03-15
32,False,2020-03-22
31,False,2020-03-29
16,False,2020-04-05
15,False,2020-04-12
0,False,2020-04-19
21,False,2020-04-26
57,False,2020-05-03
16,False,2020-05-10
32,False,2020-05-17
33,False,2020-05-24
31,False,2020-05-31
24,False,2020-06-07
38,False,2020-06-14
33,False,2020-06-21
17,False,2020-06-28
17,False,2020-07-05
17,False,2020-07-12
18,False,2020-07-19
35,False,2020-07-26
16,False,2020-08-02
24,False,2020-08-09
21,False,2020-08-16
27,False,2020-08-23
16,False,2020-08-30
0,False,2020-09-06
38,True,2020-09-13
