suicidality,isPartial,date
69,False,2019-08-25
68,False,2019-09-01
67,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
69,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
67,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
69,False,2019-12-29
66,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
62,False,2020-02-02
62,False,2020-02-09
61,False,2020-02-16
60,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
59,False,2020-03-15
57,False,2020-03-22
56,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
55,False,2020-04-19
56,False,2020-04-26
55,False,2020-05-03
58,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
56,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
62,False,2020-06-28
0,False,2020-07-05
62,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
100,True,2020-08-16
