suicide,isPartial,date
53,False,2019-08-25
62,False,2019-09-01
100,False,2019-09-08
77,False,2019-09-15
62,False,2019-09-22
64,False,2019-09-29
77,False,2019-10-06
71,False,2019-10-13
72,False,2019-10-20
75,False,2019-10-27
62,False,2019-11-03
58,False,2019-11-10
63,False,2019-11-17
68,False,2019-11-24
62,False,2019-12-01
62,False,2019-12-08
53,False,2019-12-15
55,False,2019-12-22
51,False,2019-12-29
63,False,2020-01-05
59,False,2020-01-12
60,False,2020-01-19
53,False,2020-01-26
57,False,2020-02-02
63,False,2020-02-09
64,False,2020-02-16
62,False,2020-02-23
61,False,2020-03-01
55,False,2020-03-08
41,False,2020-03-15
48,False,2020-03-22
52,False,2020-03-29
61,False,2020-04-05
52,False,2020-04-12
51,False,2020-04-19
71,False,2020-04-26
58,False,2020-05-03
51,False,2020-05-10
58,False,2020-05-17
60,False,2020-05-24
53,False,2020-05-31
47,False,2020-06-07
58,False,2020-06-14
60,False,2020-06-21
54,False,2020-06-28
66,False,2020-07-05
58,False,2020-07-12
53,False,2020-07-19
52,False,2020-07-26
61,False,2020-08-02
47,False,2020-08-09
54,True,2020-08-16
