suicide attempt,isPartial,date
0,False,2015-09-20
56,False,2015-09-27
38,False,2015-10-04
56,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
0,False,2015-11-01
38,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
36,False,2015-11-29
54,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
31,False,2016-01-10
0,False,2016-01-17
0,False,2016-01-24
0,False,2016-01-31
0,False,2016-02-07
0,False,2016-02-14
64,False,2016-02-21
31,False,2016-02-28
32,False,2016-03-06
0,False,2016-03-13
32,False,2016-03-20
64,False,2016-03-27
93,False,2016-04-03
0,False,2016-04-10
32,False,2016-04-17
64,False,2016-04-24
32,False,2016-05-01
33,False,2016-05-08
0,False,2016-05-15
0,False,2016-05-22
70,False,2016-05-29
34,False,2016-06-05
0,False,2016-06-12
0,False,2016-06-19
35,False,2016-06-26
36,False,2016-07-03
35,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
35,False,2016-07-31
71,False,2016-08-07
36,False,2016-08-14
0,False,2016-08-21
33,False,2016-08-28
33,False,2016-09-04
81,False,2016-09-11
0,False,2016-09-18
32,False,2016-09-25
32,False,2016-10-02
0,False,2016-10-09
0,False,2016-10-16
0,False,2016-10-23
0,False,2016-10-30
29,False,2016-11-06
32,False,2016-11-13
64,False,2016-11-20
45,False,2016-11-27
44,False,2016-12-04
30,False,2016-12-11
0,False,2016-12-18
0,False,2016-12-25
0,False,2017-01-01
29,False,2017-01-08
29,False,2017-01-15
56,False,2017-01-22
0,False,2017-01-29
0,False,2017-02-05
27,False,2017-02-12
28,False,2017-02-19
54,False,2017-02-26
0,False,2017-03-05
28,False,2017-03-12
28,False,2017-03-19
0,False,2017-03-26
0,False,2017-04-02
28,False,2017-04-09
0,False,2017-04-16
28,False,2017-04-23
28,False,2017-04-30
29,False,2017-05-07
0,False,2017-05-14
31,False,2017-05-21
48,False,2017-05-28
31,False,2017-06-04
93,False,2017-06-11
0,False,2017-06-18
32,False,2017-06-25
100,False,2017-07-02
31,False,2017-07-09
0,False,2017-07-16
31,False,2017-07-23
30,False,2017-07-30
58,False,2017-08-06
0,False,2017-08-13
0,False,2017-08-20
28,False,2017-08-27
28,False,2017-09-03
55,False,2017-09-10
0,False,2017-09-17
0,False,2017-09-24
0,False,2017-10-01
29,False,2017-10-08
0,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
28,False,2017-11-05
28,False,2017-11-12
0,False,2017-11-19
27,False,2017-11-26
0,False,2017-12-03
0,False,2017-12-10
0,False,2017-12-17
31,False,2017-12-24
0,False,2017-12-31
27,False,2018-01-07
27,False,2018-01-14
0,False,2018-01-21
53,False,2018-01-28
0,False,2018-02-04
0,False,2018-02-11
0,False,2018-02-18
26,False,2018-02-25
26,False,2018-03-04
27,False,2018-03-11
0,False,2018-03-18
27,False,2018-03-25
27,False,2018-04-01
0,False,2018-04-08
27,False,2018-04-15
