"""suicide chat",isPartial,date
46,False,2019-09-01
60,False,2019-09-08
64,False,2019-09-15
80,False,2019-09-22
66,False,2019-09-29
56,False,2019-10-06
50,False,2019-10-13
44,False,2019-10-20
65,False,2019-10-27
89,False,2019-11-03
51,False,2019-11-10
74,False,2019-11-17
72,False,2019-11-24
72,False,2019-12-01
82,False,2019-12-08
55,False,2019-12-15
96,False,2019-12-22
79,False,2019-12-29
63,False,2020-01-05
88,False,2020-01-12
34,False,2020-01-19
80,False,2020-01-26
66,False,2020-02-02
66,False,2020-02-09
56,False,2020-02-16
55,False,2020-02-23
100,False,2020-03-01
50,False,2020-03-08
89,False,2020-03-15
35,False,2020-03-22
38,False,2020-03-29
65,False,2020-04-05
46,False,2020-04-12
29,False,2020-04-19
79,False,2020-04-26
46,False,2020-05-03
60,False,2020-05-10
39,False,2020-05-17
31,False,2020-05-24
34,False,2020-05-31
48,False,2020-06-07
100,False,2020-06-14
83,False,2020-06-21
75,False,2020-06-28
70,False,2020-07-05
61,False,2020-07-12
71,False,2020-07-19
29,False,2020-07-26
61,False,2020-08-02
84,False,2020-08-09
37,False,2020-08-16
95,True,2020-08-23
