how to hang yourself,isPartial,date
51,False,2019-09-08
32,False,2019-09-15
46,False,2019-09-22
41,False,2019-09-29
52,False,2019-10-06
41,False,2019-10-13
48,False,2019-10-20
43,False,2019-10-27
62,False,2019-11-03
37,False,2019-11-10
29,False,2019-11-17
31,False,2019-11-24
43,False,2019-12-01
40,False,2019-12-08
41,False,2019-12-15
49,False,2019-12-22
31,False,2019-12-29
24,False,2020-01-05
47,False,2020-01-12
39,False,2020-01-19
31,False,2020-01-26
46,False,2020-02-02
62,False,2020-02-09
43,False,2020-02-16
67,False,2020-02-23
39,False,2020-03-01
34,False,2020-03-08
34,False,2020-03-15
47,False,2020-03-22
23,False,2020-03-29
37,False,2020-04-05
43,False,2020-04-12
36,False,2020-04-19
34,False,2020-04-26
32,False,2020-05-03
53,False,2020-05-10
59,False,2020-05-17
62,False,2020-05-24
42,False,2020-05-31
45,False,2020-06-07
52,False,2020-06-14
37,False,2020-06-21
46,False,2020-06-28
38,False,2020-07-05
56,False,2020-07-12
21,False,2020-07-19
49,False,2020-07-26
28,False,2020-08-02
46,False,2020-08-09
57,False,2020-08-16
53,False,2020-08-23
100,True,2020-08-30
