how to kill yourself,isPartial,date
85,False,2019-09-08
80,False,2019-09-15
79,False,2019-09-22
84,False,2019-09-29
85,False,2019-10-06
66,False,2019-10-13
77,False,2019-10-20
94,False,2019-10-27
97,False,2019-11-03
59,False,2019-11-10
93,False,2019-11-17
62,False,2019-11-24
92,False,2019-12-01
81,False,2019-12-08
73,False,2019-12-15
83,False,2019-12-22
76,False,2019-12-29
68,False,2020-01-05
75,False,2020-01-12
74,False,2020-01-19
80,False,2020-01-26
69,False,2020-02-02
82,False,2020-02-09
96,False,2020-02-16
100,False,2020-02-23
71,False,2020-03-01
86,False,2020-03-08
71,False,2020-03-15
63,False,2020-03-22
74,False,2020-03-29
78,False,2020-04-05
76,False,2020-04-12
79,False,2020-04-19
73,False,2020-04-26
85,False,2020-05-03
94,False,2020-05-10
82,False,2020-05-17
77,False,2020-05-24
71,False,2020-05-31
85,False,2020-06-07
73,False,2020-06-14
80,False,2020-06-21
85,False,2020-06-28
81,False,2020-07-05
71,False,2020-07-12
79,False,2020-07-19
78,False,2020-07-26
58,False,2020-08-02
85,False,2020-08-09
90,False,2020-08-16
98,False,2020-08-23
83,True,2020-08-30
