how to overdose,isPartial,date
81,False,2019-01-06
97,False,2019-01-13
95,False,2019-01-20
82,False,2019-01-27
81,False,2019-02-03
83,False,2019-02-10
91,False,2019-02-17
82,False,2019-02-24
87,False,2019-03-03
90,False,2019-03-10
88,False,2019-03-17
94,False,2019-03-24
70,False,2019-03-31
79,False,2019-04-07
86,False,2019-04-14
89,False,2019-04-21
92,False,2019-04-28
73,False,2019-05-05
90,False,2019-05-12
74,False,2019-05-19
91,False,2019-05-26
72,False,2019-06-02
78,False,2019-06-09
83,False,2019-06-16
64,False,2019-06-23
87,False,2019-06-30
82,False,2019-07-07
60,False,2019-07-14
76,False,2019-07-21
90,False,2019-07-28
74,False,2019-08-04
75,False,2019-08-11
84,False,2019-08-18
77,False,2019-08-25
70,False,2019-09-01
70,False,2019-09-08
73,False,2019-09-15
83,False,2019-09-22
63,False,2019-09-29
71,False,2019-10-06
61,False,2019-10-13
79,False,2019-10-20
68,False,2019-10-27
87,False,2019-11-03
77,False,2019-11-10
82,False,2019-11-17
76,False,2019-11-24
78,False,2019-12-01
100,False,2019-12-08
87,False,2019-12-15
76,False,2019-12-22
75,False,2019-12-29
81,False,2020-01-05
77,False,2020-01-12
88,False,2020-01-19
87,False,2020-01-26
97,False,2020-02-02
84,False,2020-02-09
89,False,2020-02-16
95,False,2020-02-23
78,False,2020-03-01
80,False,2020-03-08
63,False,2020-03-15
74,False,2020-03-22
76,False,2020-03-29
80,False,2020-04-05
75,False,2020-04-12
88,False,2020-04-19
74,False,2020-04-26
84,False,2020-05-03
70,False,2020-05-10
75,False,2020-05-17
70,False,2020-05-24
62,False,2020-05-31
73,False,2020-06-07
64,False,2020-06-14
71,False,2020-06-21
79,False,2020-06-28
81,False,2020-07-05
69,False,2020-07-12
84,False,2020-07-19
73,False,2020-07-26
77,False,2020-08-02
72,False,2020-08-09
70,False,2020-08-16
70,False,2020-08-23
78,False,2020-08-30
