how to suicide,isPartial,date
64,False,2019-01-06
75,False,2019-01-13
70,False,2019-01-20
78,False,2019-01-27
79,False,2019-02-03
72,False,2019-02-10
78,False,2019-02-17
100,False,2019-02-24
86,False,2019-03-03
72,False,2019-03-10
62,False,2019-03-17
92,False,2019-03-24
69,False,2019-03-31
80,False,2019-04-07
69,False,2019-04-14
72,False,2019-04-21
72,False,2019-04-28
64,False,2019-05-05
73,False,2019-05-12
58,False,2019-05-19
64,False,2019-05-26
63,False,2019-06-02
59,False,2019-06-09
62,False,2019-06-16
62,False,2019-06-23
51,False,2019-06-30
62,False,2019-07-07
49,False,2019-07-14
44,False,2019-07-21
56,False,2019-07-28
58,False,2019-08-04
72,False,2019-08-11
62,False,2019-08-18
60,False,2019-08-25
66,False,2019-09-01
81,False,2019-09-08
71,False,2019-09-15
74,False,2019-09-22
73,False,2019-09-29
73,False,2019-10-06
75,False,2019-10-13
76,False,2019-10-20
77,False,2019-10-27
81,False,2019-11-03
76,False,2019-11-10
66,False,2019-11-17
58,False,2019-11-24
73,False,2019-12-01
74,False,2019-12-08
67,False,2019-12-15
55,False,2019-12-22
60,False,2019-12-29
64,False,2020-01-05
72,False,2020-01-12
67,False,2020-01-19
66,False,2020-01-26
72,False,2020-02-02
71,False,2020-02-09
72,False,2020-02-16
81,False,2020-02-23
84,False,2020-03-01
68,False,2020-03-08
55,False,2020-03-15
58,False,2020-03-22
72,False,2020-03-29
68,False,2020-04-05
70,False,2020-04-12
70,False,2020-04-19
82,False,2020-04-26
77,False,2020-05-03
71,False,2020-05-10
67,False,2020-05-17
64,False,2020-05-24
65,False,2020-05-31
65,False,2020-06-07
78,False,2020-06-14
65,False,2020-06-21
69,False,2020-06-28
69,False,2020-07-05
70,False,2020-07-12
63,False,2020-07-19
61,False,2020-07-26
61,False,2020-08-02
62,False,2020-08-09
61,False,2020-08-16
81,False,2020-08-23
63,False,2020-08-30
