i want to die,isPartial,date
92,False,2019-01-06
74,False,2019-01-13
92,False,2019-01-20
95,False,2019-01-27
80,False,2019-02-03
92,False,2019-02-10
93,False,2019-02-17
99,False,2019-02-24
97,False,2019-03-03
88,False,2019-03-10
93,False,2019-03-17
97,False,2019-03-24
90,False,2019-03-31
81,False,2019-04-07
83,False,2019-04-14
74,False,2019-04-21
100,False,2019-04-28
84,False,2019-05-05
85,False,2019-05-12
81,False,2019-05-19
77,False,2019-05-26
82,False,2019-06-02
72,False,2019-06-09
80,False,2019-06-16
78,False,2019-06-23
72,False,2019-06-30
81,False,2019-07-07
67,False,2019-07-14
70,False,2019-07-21
62,False,2019-07-28
72,False,2019-08-04
82,False,2019-08-11
79,False,2019-08-18
74,False,2019-08-25
68,False,2019-09-01
68,False,2019-09-08
83,False,2019-09-15
84,False,2019-09-22
79,False,2019-09-29
89,False,2019-10-06
78,False,2019-10-13
82,False,2019-10-20
76,False,2019-10-27
74,False,2019-11-03
72,False,2019-11-10
85,False,2019-11-17
69,False,2019-11-24
77,False,2019-12-01
78,False,2019-12-08
77,False,2019-12-15
69,False,2019-12-22
68,False,2019-12-29
76,False,2020-01-05
87,False,2020-01-12
69,False,2020-01-19
90,False,2020-01-26
88,False,2020-02-02
84,False,2020-02-09
98,False,2020-02-16
84,False,2020-02-23
87,False,2020-03-01
83,False,2020-03-08
77,False,2020-03-15
82,False,2020-03-22
82,False,2020-03-29
77,False,2020-04-05
86,False,2020-04-12
72,False,2020-04-19
77,False,2020-04-26
91,False,2020-05-03
81,False,2020-05-10
77,False,2020-05-17
83,False,2020-05-24
73,False,2020-05-31
79,False,2020-06-07
74,False,2020-06-14
73,False,2020-06-21
77,False,2020-06-28
68,False,2020-07-05
69,False,2020-07-12
82,False,2020-07-19
71,False,2020-07-26
70,False,2020-08-02
70,False,2020-08-09
83,False,2020-08-16
67,False,2020-08-23
80,False,2020-08-30
