suicidal,isPartial,date
62,False,2019-09-08
63,False,2019-09-15
63,False,2019-09-22
60,False,2019-09-29
60,False,2019-10-06
60,False,2019-10-13
58,False,2019-10-20
63,False,2019-10-27
62,False,2019-11-03
59,False,2019-11-10
69,False,2019-11-17
69,False,2019-11-24
71,False,2019-12-01
89,False,2019-12-08
91,False,2019-12-15
89,False,2019-12-22
82,False,2019-12-29
82,False,2020-01-05
95,False,2020-01-12
100,False,2020-01-19
90,False,2020-01-26
81,False,2020-02-02
85,False,2020-02-09
86,False,2020-02-16
89,False,2020-02-23
77,False,2020-03-01
80,False,2020-03-08
72,False,2020-03-15
72,False,2020-03-22
71,False,2020-03-29
68,False,2020-04-05
68,False,2020-04-12
63,False,2020-04-19
66,False,2020-04-26
61,False,2020-05-03
64,False,2020-05-10
62,False,2020-05-17
60,False,2020-05-24
58,False,2020-05-31
58,False,2020-06-07
64,False,2020-06-14
60,False,2020-06-21
58,False,2020-06-28
62,False,2020-07-05
60,False,2020-07-12
64,False,2020-07-19
62,False,2020-07-26
59,False,2020-08-02
61,False,2020-08-09
55,False,2020-08-16
53,False,2020-08-23
62,True,2020-08-30
