suicidal thoughts,isPartial,date
76,False,2019-01-06
74,False,2019-01-13
60,False,2019-01-20
73,False,2019-01-27
73,False,2019-02-03
74,False,2019-02-10
100,False,2019-02-17
91,False,2019-02-24
82,False,2019-03-03
61,False,2019-03-10
84,False,2019-03-17
82,False,2019-03-24
76,False,2019-03-31
72,False,2019-04-07
76,False,2019-04-14
73,False,2019-04-21
72,False,2019-04-28
70,False,2019-05-05
77,False,2019-05-12
59,False,2019-05-19
69,False,2019-05-26
63,False,2019-06-02
60,False,2019-06-09
65,False,2019-06-16
68,False,2019-06-23
55,False,2019-06-30
55,False,2019-07-07
57,False,2019-07-14
71,False,2019-07-21
56,False,2019-07-28
61,False,2019-08-04
78,False,2019-08-11
62,False,2019-08-18
66,False,2019-08-25
66,False,2019-09-01
89,False,2019-09-08
77,False,2019-09-15
66,False,2019-09-22
70,False,2019-09-29
68,False,2019-10-06
71,False,2019-10-13
69,False,2019-10-20
72,False,2019-10-27
81,False,2019-11-03
79,False,2019-11-10
80,False,2019-11-17
65,False,2019-11-24
77,False,2019-12-01
64,False,2019-12-08
62,False,2019-12-15
60,False,2019-12-22
63,False,2019-12-29
57,False,2020-01-05
69,False,2020-01-12
71,False,2020-01-19
74,False,2020-01-26
75,False,2020-02-02
63,False,2020-02-09
67,False,2020-02-16
69,False,2020-02-23
60,False,2020-03-01
63,False,2020-03-08
46,False,2020-03-15
58,False,2020-03-22
53,False,2020-03-29
60,False,2020-04-05
60,False,2020-04-12
55,False,2020-04-19
48,False,2020-04-26
47,False,2020-05-03
61,False,2020-05-10
59,False,2020-05-17
60,False,2020-05-24
50,False,2020-05-31
60,False,2020-06-07
67,False,2020-06-14
52,False,2020-06-21
58,False,2020-06-28
53,False,2020-07-05
56,False,2020-07-12
61,False,2020-07-19
69,False,2020-07-26
58,False,2020-08-02
70,False,2020-08-09
58,False,2020-08-16
56,False,2020-08-23
55,False,2020-08-30
