suicide helpline,isPartial,date
23,False,2019-01-06
23,False,2019-01-13
35,False,2019-01-20
23,False,2019-01-27
22,False,2019-02-03
30,False,2019-02-10
38,False,2019-02-17
68,False,2019-02-24
54,False,2019-03-03
70,False,2019-03-10
0,False,2019-03-17
47,False,2019-03-24
47,False,2019-03-31
31,False,2019-04-07
48,False,2019-04-14
40,False,2019-04-21
58,False,2019-04-28
59,False,2019-05-05
24,False,2019-05-12
41,False,2019-05-19
57,False,2019-05-26
35,False,2019-06-02
88,False,2019-06-09
40,False,2019-06-16
25,False,2019-06-23
38,False,2019-06-30
48,False,2019-07-07
56,False,2019-07-14
50,False,2019-07-21
62,False,2019-07-28
41,False,2019-08-04
32,False,2019-08-11
71,False,2019-08-18
31,False,2019-08-25
30,False,2019-09-01
44,False,2019-09-08
43,False,2019-09-15
0,False,2019-09-22
44,False,2019-09-29
30,False,2019-10-06
67,False,2019-10-13
29,False,2019-10-20
44,False,2019-10-27
36,False,2019-11-03
57,False,2019-11-10
22,False,2019-11-17
38,False,2019-11-24
32,False,2019-12-01
22,False,2019-12-08
88,False,2019-12-15
41,False,2019-12-22
46,False,2019-12-29
32,False,2020-01-05
61,False,2020-01-12
43,False,2020-01-19
28,False,2020-01-26
55,False,2020-02-02
42,False,2020-02-09
20,False,2020-02-16
100,False,2020-02-23
53,False,2020-03-01
66,False,2020-03-08
39,False,2020-03-15
67,False,2020-03-22
75,False,2020-03-29
76,False,2020-04-05
43,False,2020-04-12
30,False,2020-04-19
49,False,2020-04-26
61,False,2020-05-03
56,False,2020-05-10
31,False,2020-05-17
65,False,2020-05-24
28,False,2020-05-31
70,False,2020-06-07
73,False,2020-06-14
94,False,2020-06-21
41,False,2020-06-28
55,False,2020-07-05
48,False,2020-07-12
90,False,2020-07-19
91,False,2020-07-26
73,False,2020-08-02
96,False,2020-08-09
61,False,2020-08-16
72,False,2020-08-23
71,False,2020-08-30
