suicide lifeline,isPartial,date
37,False,2019-08-25
50,False,2019-09-01
97,False,2019-09-08
55,False,2019-09-15
64,False,2019-09-22
92,False,2019-09-29
79,False,2019-10-06
57,False,2019-10-13
55,False,2019-10-20
42,False,2019-10-27
14,False,2019-11-03
41,False,2019-11-10
76,False,2019-11-17
36,False,2019-11-24
60,False,2019-12-01
62,False,2019-12-08
28,False,2019-12-15
32,False,2019-12-22
15,False,2019-12-29
27,False,2020-01-05
45,False,2020-01-12
74,False,2020-01-19
66,False,2020-01-26
47,False,2020-02-02
80,False,2020-02-09
78,False,2020-02-16
52,False,2020-02-23
64,False,2020-03-01
26,False,2020-03-08
56,False,2020-03-15
43,False,2020-03-22
42,False,2020-03-29
79,False,2020-04-05
64,False,2020-04-12
58,False,2020-04-19
29,False,2020-04-26
35,False,2020-05-03
54,False,2020-05-10
42,False,2020-05-17
31,False,2020-05-24
36,False,2020-05-31
42,False,2020-06-07
64,False,2020-06-14
58,False,2020-06-21
33,False,2020-06-28
52,False,2020-07-05
39,False,2020-07-12
100,False,2020-07-19
40,False,2020-07-26
59,False,2020-08-02
53,False,2020-08-09
79,True,2020-08-16
