suicide prevention,isPartial,date
13,False,2019-01-06
14,False,2019-01-13
14,False,2019-01-20
15,False,2019-01-27
16,False,2019-02-03
15,False,2019-02-10
21,False,2019-02-17
39,False,2019-02-24
18,False,2019-03-03
16,False,2019-03-10
15,False,2019-03-17
20,False,2019-03-24
17,False,2019-03-31
17,False,2019-04-07
14,False,2019-04-14
17,False,2019-04-21
17,False,2019-04-28
16,False,2019-05-05
16,False,2019-05-12
12,False,2019-05-19
13,False,2019-05-26
14,False,2019-06-02
13,False,2019-06-09
13,False,2019-06-16
16,False,2019-06-23
13,False,2019-06-30
13,False,2019-07-07
11,False,2019-07-14
12,False,2019-07-21
15,False,2019-07-28
15,False,2019-08-04
16,False,2019-08-11
18,False,2019-08-18
24,False,2019-08-25
37,False,2019-09-01
100,False,2019-09-08
27,False,2019-09-15
26,False,2019-09-22
24,False,2019-09-29
22,False,2019-10-06
22,False,2019-10-13
19,False,2019-10-20
21,False,2019-10-27
17,False,2019-11-03
15,False,2019-11-10
16,False,2019-11-17
11,False,2019-11-24
16,False,2019-12-01
16,False,2019-12-08
15,False,2019-12-15
11,False,2019-12-22
11,False,2019-12-29
14,False,2020-01-05
16,False,2020-01-12
17,False,2020-01-19
15,False,2020-01-26
15,False,2020-02-02
15,False,2020-02-09
15,False,2020-02-16
16,False,2020-02-23
15,False,2020-03-01
15,False,2020-03-08
9,False,2020-03-15
12,False,2020-03-22
9,False,2020-03-29
13,False,2020-04-05
11,False,2020-04-12
13,False,2020-04-19
13,False,2020-04-26
12,False,2020-05-03
12,False,2020-05-10
10,False,2020-05-17
10,False,2020-05-24
9,False,2020-05-31
10,False,2020-06-07
13,False,2020-06-14
11,False,2020-06-21
13,False,2020-06-28
13,False,2020-07-05
13,False,2020-07-12
16,False,2020-07-19
11,False,2020-07-26
14,False,2020-08-02
13,False,2020-08-09
14,False,2020-08-16
14,False,2020-08-23
56,False,2020-08-30
