how to commit suicide,isPartial,date
14,False,2019-09-08
16,False,2019-09-15
11,False,2019-09-22
16,False,2019-09-29
21,False,2019-10-06
26,False,2019-10-13
16,False,2019-10-20
10,False,2019-10-27
10,False,2019-11-03
10,False,2019-11-10
16,False,2019-11-17
27,False,2019-11-24
15,False,2019-12-01
17,False,2019-12-08
26,False,2019-12-15
11,False,2019-12-22
0,False,2019-12-29
19,False,2020-01-05
23,False,2020-01-12
10,False,2020-01-19
16,False,2020-01-26
14,False,2020-02-02
19,False,2020-02-09
27,False,2020-02-16
18,False,2020-02-23
9,False,2020-03-01
9,False,2020-03-08
9,False,2020-03-15
0,False,2020-03-22
14,False,2020-03-29
9,False,2020-04-05
25,False,2020-04-12
8,False,2020-04-19
22,False,2020-04-26
12,False,2020-05-03
13,False,2020-05-10
13,False,2020-05-17
15,False,2020-05-24
12,False,2020-05-31
0,False,2020-06-07
14,False,2020-06-14
9,False,2020-06-21
22,False,2020-06-28
10,False,2020-07-05
10,False,2020-07-12
10,False,2020-07-19
16,False,2020-07-26
10,False,2020-08-02
20,False,2020-08-09
13,False,2020-08-16
9,False,2020-08-23
100,True,2020-08-30
