how to suicide,isPartial,date
42,False,2019-01-06
49,False,2019-01-13
75,False,2019-01-20
35,False,2019-01-27
76,False,2019-02-03
96,False,2019-02-10
54,False,2019-02-17
98,False,2019-02-24
73,False,2019-03-03
53,False,2019-03-10
95,False,2019-03-17
61,False,2019-03-24
20,False,2019-03-31
72,False,2019-04-07
29,False,2019-04-14
52,False,2019-04-21
67,False,2019-04-28
68,False,2019-05-05
38,False,2019-05-12
46,False,2019-05-19
69,False,2019-05-26
45,False,2019-06-02
75,False,2019-06-09
37,False,2019-06-16
22,False,2019-06-23
38,False,2019-06-30
51,False,2019-07-07
65,False,2019-07-14
51,False,2019-07-21
44,False,2019-07-28
37,False,2019-08-04
29,False,2019-08-11
50,False,2019-08-18
40,False,2019-08-25
46,False,2019-09-01
68,False,2019-09-08
89,False,2019-09-15
90,False,2019-09-22
48,False,2019-09-29
95,False,2019-10-06
94,False,2019-10-13
100,False,2019-10-20
67,False,2019-10-27
39,False,2019-11-03
65,False,2019-11-10
53,False,2019-11-17
75,False,2019-11-24
26,False,2019-12-01
73,False,2019-12-08
60,False,2019-12-15
34,False,2019-12-22
33,False,2019-12-29
56,False,2020-01-05
48,False,2020-01-12
31,False,2020-01-19
73,False,2020-01-26
30,False,2020-02-02
91,False,2020-02-09
82,False,2020-02-16
70,False,2020-02-23
70,False,2020-03-01
29,False,2020-03-08
41,False,2020-03-15
35,False,2020-03-22
66,False,2020-03-29
61,False,2020-04-05
55,False,2020-04-12
60,False,2020-04-19
72,False,2020-04-26
89,False,2020-05-03
62,False,2020-05-10
68,False,2020-05-17
34,False,2020-05-24
62,False,2020-05-31
34,False,2020-06-07
53,False,2020-06-14
73,False,2020-06-21
24,False,2020-06-28
62,False,2020-07-05
56,False,2020-07-12
62,False,2020-07-19
63,False,2020-07-26
56,False,2020-08-02
50,False,2020-08-09
82,False,2020-08-16
73,False,2020-08-23
60,False,2020-08-30
