i want to die,isPartial,date
57,False,2019-09-22
71,False,2019-09-29
84,False,2019-10-06
56,False,2019-10-13
76,False,2019-10-20
76,False,2019-10-27
75,False,2019-11-03
75,False,2019-11-10
69,False,2019-11-17
71,False,2019-11-24
67,False,2019-12-01
68,False,2019-12-08
34,False,2019-12-15
50,False,2019-12-22
54,False,2019-12-29
52,False,2020-01-05
31,False,2020-01-12
58,False,2020-01-19
47,False,2020-01-26
100,False,2020-02-02
38,False,2020-02-09
55,False,2020-02-16
36,False,2020-02-23
79,False,2020-03-01
54,False,2020-03-08
60,False,2020-03-15
67,False,2020-03-22
52,False,2020-03-29
26,False,2020-04-05
59,False,2020-04-12
97,False,2020-04-19
58,False,2020-04-26
81,False,2020-05-03
52,False,2020-05-10
52,False,2020-05-17
53,False,2020-05-24
52,False,2020-05-31
83,False,2020-06-07
43,False,2020-06-14
62,False,2020-06-21
38,False,2020-06-28
58,False,2020-07-05
87,False,2020-07-12
33,False,2020-07-19
66,False,2020-07-26
39,False,2020-08-02
59,False,2020-08-09
72,False,2020-08-16
44,False,2020-08-23
66,False,2020-08-30
76,False,2020-09-06
71,True,2020-09-13
