painless suicide,isPartial,date
48,False,2019-09-08
97,False,2019-09-15
0,False,2019-09-22
49,False,2019-09-29
49,False,2019-10-06
48,False,2019-10-13
48,False,2019-10-20
48,False,2019-10-27
70,False,2019-11-03
70,False,2019-11-10
0,False,2019-11-17
49,False,2019-11-24
93,False,2019-12-01
71,False,2019-12-08
0,False,2019-12-15
49,False,2019-12-22
46,False,2019-12-29
44,False,2020-01-05
64,False,2020-01-12
67,False,2020-01-19
86,False,2020-01-26
86,False,2020-02-02
43,False,2020-02-09
84,False,2020-02-16
41,False,2020-02-23
42,False,2020-03-01
0,False,2020-03-08
42,False,2020-03-15
41,False,2020-03-22
40,False,2020-03-29
40,False,2020-04-05
39,False,2020-04-12
39,False,2020-04-19
40,False,2020-04-26
40,False,2020-05-03
100,False,2020-05-10
40,False,2020-05-17
41,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
42,False,2020-06-14
43,False,2020-06-21
87,False,2020-06-28
44,False,2020-07-05
45,False,2020-07-12
67,False,2020-07-19
0,False,2020-07-26
45,False,2020-08-02
45,False,2020-08-09
45,False,2020-08-16
43,False,2020-08-23
0,True,2020-08-30
