suicidal,isPartial,date
61,False,2019-09-08
53,False,2019-09-15
65,False,2019-09-22
61,False,2019-09-29
58,False,2019-10-06
70,False,2019-10-13
50,False,2019-10-20
51,False,2019-10-27
58,False,2019-11-03
57,False,2019-11-10
66,False,2019-11-17
77,False,2019-11-24
67,False,2019-12-01
80,False,2019-12-08
88,False,2019-12-15
82,False,2019-12-22
72,False,2019-12-29
74,False,2020-01-05
100,False,2020-01-12
98,False,2020-01-19
90,False,2020-01-26
69,False,2020-02-02
55,False,2020-02-09
77,False,2020-02-16
70,False,2020-02-23
75,False,2020-03-01
74,False,2020-03-08
64,False,2020-03-15
50,False,2020-03-22
75,False,2020-03-29
67,False,2020-04-05
65,False,2020-04-12
67,False,2020-04-19
58,False,2020-04-26
48,False,2020-05-03
60,False,2020-05-10
54,False,2020-05-17
60,False,2020-05-24
63,False,2020-05-31
48,False,2020-06-07
67,False,2020-06-14
61,False,2020-06-21
57,False,2020-06-28
52,False,2020-07-05
69,False,2020-07-12
65,False,2020-07-19
62,False,2020-07-26
63,False,2020-08-02
45,False,2020-08-09
39,False,2020-08-16
41,False,2020-08-23
52,True,2020-08-30
