suicidal ideation,isPartial,date
54,False,2019-09-08
27,False,2019-09-15
27,False,2019-09-22
68,False,2019-09-29
45,False,2019-10-06
54,False,2019-10-13
40,False,2019-10-20
40,False,2019-10-27
26,False,2019-11-03
26,False,2019-11-10
71,False,2019-11-17
28,False,2019-11-24
39,False,2019-12-01
26,False,2019-12-08
26,False,2019-12-15
0,False,2019-12-22
26,False,2019-12-29
0,False,2020-01-05
24,False,2020-01-12
25,False,2020-01-19
40,False,2020-01-26
48,False,2020-02-02
36,False,2020-02-09
31,False,2020-02-16
23,False,2020-02-23
35,False,2020-03-01
23,False,2020-03-08
38,False,2020-03-15
23,False,2020-03-22
30,False,2020-03-29
22,False,2020-04-05
29,False,2020-04-12
29,False,2020-04-19
45,False,2020-04-26
44,False,2020-05-03
45,False,2020-05-10
0,False,2020-05-17
46,False,2020-05-24
45,False,2020-05-31
53,False,2020-06-07
35,False,2020-06-14
48,False,2020-06-21
24,False,2020-06-28
25,False,2020-07-05
41,False,2020-07-12
50,False,2020-07-19
100,False,2020-07-26
37,False,2020-08-02
25,False,2020-08-09
25,False,2020-08-16
48,False,2020-08-23
0,True,2020-08-30
