suicidal thoughts,isPartial,date
58,False,2019-09-08
63,False,2019-09-15
43,False,2019-09-22
27,False,2019-09-29
16,False,2019-10-06
26,False,2019-10-13
26,False,2019-10-20
57,False,2019-10-27
51,False,2019-11-03
61,False,2019-11-10
62,False,2019-11-17
54,False,2019-11-24
53,False,2019-12-01
46,False,2019-12-08
31,False,2019-12-15
24,False,2019-12-22
45,False,2019-12-29
29,False,2020-01-05
33,False,2020-01-12
38,False,2020-01-19
37,False,2020-01-26
80,False,2020-02-02
38,False,2020-02-09
46,False,2020-02-16
45,False,2020-02-23
54,False,2020-03-01
40,False,2020-03-08
31,False,2020-03-15
36,False,2020-03-22
26,False,2020-03-29
30,False,2020-04-05
17,False,2020-04-12
19,False,2020-04-19
91,False,2020-04-26
39,False,2020-05-03
39,False,2020-05-10
30,False,2020-05-17
22,False,2020-05-24
83,False,2020-05-31
87,False,2020-06-07
50,False,2020-06-14
33,False,2020-06-21
43,False,2020-06-28
72,False,2020-07-05
36,False,2020-07-12
34,False,2020-07-19
39,False,2020-07-26
49,False,2020-08-02
59,False,2020-08-09
49,False,2020-08-16
33,False,2020-08-23
100,True,2020-08-30
