suicidality,isPartial,date
50,False,2019-09-08
100,False,2019-09-15
76,False,2019-09-22
0,False,2019-09-29
50,False,2019-10-06
50,False,2019-10-13
0,False,2019-10-20
49,False,2019-10-27
0,False,2019-11-03
48,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
72,False,2019-12-01
0,False,2019-12-08
72,False,2019-12-15
0,False,2019-12-22
48,False,2019-12-29
0,False,2020-01-05
88,False,2020-01-12
0,False,2020-01-19
44,False,2020-01-26
44,False,2020-02-02
44,False,2020-02-09
43,False,2020-02-16
85,False,2020-02-23
43,False,2020-03-01
42,False,2020-03-08
43,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
41,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
41,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
41,False,2020-05-17
84,False,2020-05-24
41,False,2020-05-31
0,False,2020-06-07
43,False,2020-06-14
44,False,2020-06-21
68,False,2020-06-28
46,False,2020-07-05
46,False,2020-07-12
45,False,2020-07-19
46,False,2020-07-26
91,False,2020-08-02
0,False,2020-08-09
92,False,2020-08-16
89,False,2020-08-23
0,True,2020-08-30
