suicide,isPartial,date
64,False,2019-08-25
68,False,2019-09-01
100,False,2019-09-08
87,False,2019-09-15
88,False,2019-09-22
84,False,2019-09-29
80,False,2019-10-06
92,False,2019-10-13
86,False,2019-10-20
88,False,2019-10-27
76,False,2019-11-03
65,False,2019-11-10
70,False,2019-11-17
64,False,2019-11-24
68,False,2019-12-01
64,False,2019-12-08
59,False,2019-12-15
69,False,2019-12-22
69,False,2019-12-29
66,False,2020-01-05
76,False,2020-01-12
69,False,2020-01-19
69,False,2020-01-26
77,False,2020-02-02
81,False,2020-02-09
94,False,2020-02-16
75,False,2020-02-23
76,False,2020-03-01
67,False,2020-03-08
55,False,2020-03-15
55,False,2020-03-22
62,False,2020-03-29
67,False,2020-04-05
62,False,2020-04-12
64,False,2020-04-19
81,False,2020-04-26
62,False,2020-05-03
64,False,2020-05-10
57,False,2020-05-17
61,False,2020-05-24
67,False,2020-05-31
64,False,2020-06-07
73,False,2020-06-14
66,False,2020-06-21
72,False,2020-06-28
70,False,2020-07-05
80,False,2020-07-12
72,False,2020-07-19
61,False,2020-07-26
64,False,2020-08-02
63,False,2020-08-09
59,True,2020-08-16
