suicide -squad,isPartial,date
56,False,2019-09-22
54,False,2019-09-29
51,False,2019-10-06
54,False,2019-10-13
61,False,2019-10-20
55,False,2019-10-27
60,False,2019-11-03
49,False,2019-11-10
50,False,2019-11-17
50,False,2019-11-24
49,False,2019-12-01
53,False,2019-12-08
45,False,2019-12-15
47,False,2019-12-22
53,False,2019-12-29
52,False,2020-01-05
47,False,2020-01-12
47,False,2020-01-19
52,False,2020-01-26
50,False,2020-02-02
60,False,2020-02-09
63,False,2020-02-16
58,False,2020-02-23
65,False,2020-03-01
48,False,2020-03-08
37,False,2020-03-15
43,False,2020-03-22
49,False,2020-03-29
49,False,2020-04-05
50,False,2020-04-12
51,False,2020-04-19
59,False,2020-04-26
49,False,2020-05-03
41,False,2020-05-10
46,False,2020-05-17
49,False,2020-05-24
52,False,2020-05-31
49,False,2020-06-07
56,False,2020-06-14
51,False,2020-06-21
54,False,2020-06-28
51,False,2020-07-05
58,False,2020-07-12
49,False,2020-07-19
50,False,2020-07-26
44,False,2020-08-02
41,False,2020-08-09
44,False,2020-08-16
43,False,2020-08-23
54,False,2020-08-30
100,False,2020-09-06
53,True,2020-09-13
