suicide prevention,isPartial,date
14,False,2019-09-22
12,False,2019-09-29
15,False,2019-10-06
20,False,2019-10-13
13,False,2019-10-20
12,False,2019-10-27
15,False,2019-11-03
18,False,2019-11-10
18,False,2019-11-17
17,False,2019-11-24
8,False,2019-12-01
8,False,2019-12-08
8,False,2019-12-15
9,False,2019-12-22
5,False,2019-12-29
9,False,2020-01-05
10,False,2020-01-12
15,False,2020-01-19
12,False,2020-01-26
4,False,2020-02-02
21,False,2020-02-09
12,False,2020-02-16
16,False,2020-02-23
13,False,2020-03-01
9,False,2020-03-08
9,False,2020-03-15
4,False,2020-03-22
10,False,2020-03-29
13,False,2020-04-05
5,False,2020-04-12
16,False,2020-04-19
10,False,2020-04-26
10,False,2020-05-03
6,False,2020-05-10
14,False,2020-05-17
7,False,2020-05-24
8,False,2020-05-31
4,False,2020-06-07
10,False,2020-06-14
9,False,2020-06-21
9,False,2020-06-28
6,False,2020-07-05
9,False,2020-07-12
17,False,2020-07-19
9,False,2020-07-26
25,False,2020-08-02
20,False,2020-08-09
12,False,2020-08-16
14,False,2020-08-23
34,False,2020-08-30
100,False,2020-09-06
34,True,2020-09-13
