commit suicide,isPartial,date
35,False,2019-09-22
47,False,2019-09-29
36,False,2019-10-06
49,False,2019-10-13
32,False,2019-10-20
70,False,2019-10-27
35,False,2019-11-03
46,False,2019-11-10
38,False,2019-11-17
33,False,2019-11-24
23,False,2019-12-01
24,False,2019-12-08
24,False,2019-12-15
54,False,2019-12-22
62,False,2019-12-29
23,False,2020-01-05
36,False,2020-01-12
44,False,2020-01-19
22,False,2020-01-26
22,False,2020-02-02
68,False,2020-02-09
52,False,2020-02-16
32,False,2020-02-23
29,False,2020-03-01
33,False,2020-03-08
43,False,2020-03-15
21,False,2020-03-22
47,False,2020-03-29
0,False,2020-04-05
19,False,2020-04-12
49,False,2020-04-19
20,False,2020-04-26
26,False,2020-05-03
30,False,2020-05-10
21,False,2020-05-17
44,False,2020-05-24
54,False,2020-05-31
32,False,2020-06-07
33,False,2020-06-14
46,False,2020-06-21
23,False,2020-06-28
22,False,2020-07-05
0,False,2020-07-12
23,False,2020-07-19
35,False,2020-07-26
24,False,2020-08-02
24,False,2020-08-09
47,False,2020-08-16
23,False,2020-08-23
44,False,2020-08-30
33,False,2020-09-06
100,True,2020-09-13
