feeling down,isPartial,date
0,False,2019-09-01
0,False,2019-09-08
33,False,2019-09-15
34,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
34,False,2019-10-13
34,False,2019-10-20
33,False,2019-10-27
33,False,2019-11-03
33,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
65,False,2019-12-01
0,False,2019-12-08
34,False,2019-12-15
0,False,2019-12-22
36,False,2019-12-29
99,False,2020-01-05
31,False,2020-01-12
32,False,2020-01-19
32,False,2020-01-26
32,False,2020-02-02
0,False,2020-02-09
32,False,2020-02-16
31,False,2020-02-23
31,False,2020-03-01
31,False,2020-03-08
31,False,2020-03-15
29,False,2020-03-22
29,False,2020-03-29
0,False,2020-04-05
27,False,2020-04-12
28,False,2020-04-19
28,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
45,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
64,False,2020-06-14
33,False,2020-06-21
0,False,2020-06-28
48,False,2020-07-05
0,False,2020-07-12
100,False,2020-07-19
34,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
77,True,2020-08-23
