suicidal ideation,isPartial,date
0,False,2019-09-08
52,False,2019-09-15
0,False,2019-09-22
52,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
51,False,2019-11-10
51,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
54,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
98,False,2020-01-12
50,False,2020-01-19
49,False,2020-01-26
50,False,2020-02-02
100,False,2020-02-09
0,False,2020-02-16
48,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
49,False,2020-03-15
94,False,2020-03-22
89,False,2020-03-29
0,False,2020-04-05
42,False,2020-04-12
43,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
49,False,2020-05-24
48,False,2020-05-31
49,False,2020-06-07
75,False,2020-06-14
51,False,2020-06-21
53,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
52,False,2020-08-09
52,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
