suicide hotline,isPartial,date
34,False,2019-09-08
0,False,2019-09-15
51,False,2019-09-22
76,False,2019-09-29
26,False,2019-10-06
65,False,2019-10-13
26,False,2019-10-20
25,False,2019-10-27
25,False,2019-11-03
25,False,2019-11-10
37,False,2019-11-17
27,False,2019-11-24
25,False,2019-12-01
25,False,2019-12-08
43,False,2019-12-15
29,False,2019-12-22
27,False,2019-12-29
25,False,2020-01-05
35,False,2020-01-12
24,False,2020-01-19
36,False,2020-01-26
36,False,2020-02-02
24,False,2020-02-09
24,False,2020-02-16
46,False,2020-02-23
23,False,2020-03-01
47,False,2020-03-08
0,False,2020-03-15
23,False,2020-03-22
21,False,2020-03-29
44,False,2020-04-05
31,False,2020-04-12
21,False,2020-04-19
0,False,2020-04-26
35,False,2020-05-03
43,False,2020-05-10
34,False,2020-05-17
23,False,2020-05-24
59,False,2020-05-31
23,False,2020-06-07
48,False,2020-06-14
25,False,2020-06-21
42,False,2020-06-28
24,False,2020-07-05
25,False,2020-07-12
25,False,2020-07-19
43,False,2020-07-26
26,False,2020-08-02
25,False,2020-08-09
100,False,2020-08-16
24,False,2020-08-23
0,True,2020-08-30
