how to suicide,isPartial,date
32,False,2019-01-06
42,False,2019-01-13
22,False,2019-01-20
74,False,2019-01-27
31,False,2019-02-03
49,False,2019-02-10
79,False,2019-02-17
40,False,2019-02-24
0,False,2019-03-03
54,False,2019-03-10
22,False,2019-03-17
44,False,2019-03-24
22,False,2019-03-31
45,False,2019-04-07
23,False,2019-04-14
23,False,2019-04-21
22,False,2019-04-28
44,False,2019-05-05
44,False,2019-05-12
45,False,2019-05-19
44,False,2019-05-26
53,False,2019-06-02
65,False,2019-06-09
44,False,2019-06-16
23,False,2019-06-23
23,False,2019-06-30
33,False,2019-07-07
67,False,2019-07-14
23,False,2019-07-21
23,False,2019-07-28
23,False,2019-08-04
56,False,2019-08-11
67,False,2019-08-18
33,False,2019-08-25
21,False,2019-09-01
21,False,2019-09-08
31,False,2019-09-15
41,False,2019-09-22
72,False,2019-09-29
42,False,2019-10-06
21,False,2019-10-13
50,False,2019-10-20
50,False,2019-10-27
0,False,2019-11-03
30,False,2019-11-10
50,False,2019-11-17
62,False,2019-11-24
19,False,2019-12-01
39,False,2019-12-08
100,False,2019-12-15
45,False,2019-12-22
31,False,2019-12-29
29,False,2020-01-05
38,False,2020-01-12
39,False,2020-01-19
29,False,2020-01-26
28,False,2020-02-02
38,False,2020-02-09
18,False,2020-02-16
26,False,2020-02-23
18,False,2020-03-01
18,False,2020-03-08
71,False,2020-03-15
34,False,2020-03-22
34,False,2020-03-29
17,False,2020-04-05
16,False,2020-04-12
24,False,2020-04-19
72,False,2020-04-26
56,False,2020-05-03
33,False,2020-05-10
57,False,2020-05-17
34,False,2020-05-24
24,False,2020-05-31
25,False,2020-06-07
43,False,2020-06-14
71,False,2020-06-21
36,False,2020-06-28
45,False,2020-07-05
91,False,2020-07-12
36,False,2020-07-19
28,False,2020-07-26
19,False,2020-08-02
19,False,2020-08-09
19,False,2020-08-16
37,False,2020-08-23
36,False,2020-08-30
