suicidal,isPartial,date
28,False,2019-09-22
28,False,2019-09-29
84,False,2019-10-06
29,False,2019-10-13
57,False,2019-10-20
28,False,2019-10-27
28,False,2019-11-03
0,False,2019-11-10
71,False,2019-11-17
60,False,2019-11-24
28,False,2019-12-01
0,False,2019-12-08
59,False,2019-12-15
82,False,2019-12-22
89,False,2019-12-29
100,False,2020-01-05
55,False,2020-01-12
29,False,2020-01-19
28,False,2020-01-26
27,False,2020-02-02
42,False,2020-02-09
43,False,2020-02-16
27,False,2020-02-23
40,False,2020-03-01
80,False,2020-03-08
37,False,2020-03-15
59,False,2020-03-22
23,False,2020-03-29
69,False,2020-04-05
90,False,2020-04-12
24,False,2020-04-19
45,False,2020-04-26
23,False,2020-05-03
24,False,2020-05-10
0,False,2020-05-17
24,False,2020-05-24
23,False,2020-05-31
24,False,2020-06-07
51,False,2020-06-14
25,False,2020-06-21
49,False,2020-06-28
37,False,2020-07-05
25,False,2020-07-12
63,False,2020-07-19
25,False,2020-07-26
50,False,2020-08-02
49,False,2020-08-09
37,False,2020-08-16
0,False,2020-08-23
37,False,2020-08-30
49,False,2020-09-06
82,True,2020-09-13
