suicide,isPartial,date
83,False,2019-09-08
45,False,2019-09-15
48,False,2019-09-22
78,False,2019-09-29
72,False,2019-10-06
59,False,2019-10-13
59,False,2019-10-20
72,False,2019-10-27
78,False,2019-11-03
75,False,2019-11-10
100,False,2019-11-17
62,False,2019-11-24
49,False,2019-12-01
46,False,2019-12-08
55,False,2019-12-15
54,False,2019-12-22
49,False,2019-12-29
89,False,2020-01-05
56,False,2020-01-12
52,False,2020-01-19
74,False,2020-01-26
48,False,2020-02-02
58,False,2020-02-09
46,False,2020-02-16
66,False,2020-02-23
70,False,2020-03-01
49,False,2020-03-08
27,False,2020-03-15
48,False,2020-03-22
45,False,2020-03-29
44,False,2020-04-05
48,False,2020-04-12
41,False,2020-04-19
53,False,2020-04-26
50,False,2020-05-03
51,False,2020-05-10
41,False,2020-05-17
57,False,2020-05-24
55,False,2020-05-31
50,False,2020-06-07
41,False,2020-06-14
36,False,2020-06-21
46,False,2020-06-28
46,False,2020-07-05
57,False,2020-07-12
47,False,2020-07-19
48,False,2020-07-26
38,False,2020-08-02
45,False,2020-08-09
46,False,2020-08-16
72,False,2020-08-23
59,True,2020-08-30
