suicide -squad,isPartial,date
46,False,2019-09-22
41,False,2019-09-29
72,False,2019-10-06
47,False,2019-10-13
53,False,2019-10-20
44,False,2019-10-27
76,False,2019-11-03
69,False,2019-11-10
53,False,2019-11-17
58,False,2019-11-24
55,False,2019-12-01
56,False,2019-12-08
65,False,2019-12-15
59,False,2019-12-22
35,False,2019-12-29
73,False,2020-01-05
47,False,2020-01-12
56,False,2020-01-19
80,False,2020-01-26
46,False,2020-02-02
64,False,2020-02-09
62,False,2020-02-16
83,False,2020-02-23
53,False,2020-03-01
51,False,2020-03-08
33,False,2020-03-15
46,False,2020-03-22
39,False,2020-03-29
51,False,2020-04-05
33,False,2020-04-12
44,False,2020-04-19
48,False,2020-04-26
35,False,2020-05-03
31,False,2020-05-10
46,False,2020-05-17
40,False,2020-05-24
43,False,2020-05-31
28,False,2020-06-07
42,False,2020-06-14
54,False,2020-06-21
39,False,2020-06-28
46,False,2020-07-05
33,False,2020-07-12
31,False,2020-07-19
39,False,2020-07-26
33,False,2020-08-02
34,False,2020-08-09
55,False,2020-08-16
52,False,2020-08-23
60,False,2020-08-30
100,False,2020-09-06
34,True,2020-09-13
