commit suicide,isPartial,date
21,False,2019-09-08
31,False,2019-09-15
31,False,2019-09-22
15,False,2019-09-29
21,False,2019-10-06
21,False,2019-10-13
46,False,2019-10-20
31,False,2019-10-27
25,False,2019-11-03
20,False,2019-11-10
20,False,2019-11-17
48,False,2019-11-24
20,False,2019-12-01
51,False,2019-12-08
21,False,2019-12-15
34,False,2019-12-22
16,False,2019-12-29
0,False,2020-01-05
19,False,2020-01-12
30,False,2020-01-19
14,False,2020-01-26
24,False,2020-02-02
14,False,2020-02-09
51,False,2020-02-16
41,False,2020-02-23
23,False,2020-03-01
28,False,2020-03-08
23,False,2020-03-15
39,False,2020-03-22
22,False,2020-03-29
27,False,2020-04-05
30,False,2020-04-12
21,False,2020-04-19
34,False,2020-04-26
45,False,2020-05-03
13,False,2020-05-10
26,False,2020-05-17
52,False,2020-05-24
39,False,2020-05-31
30,False,2020-06-07
35,False,2020-06-14
18,False,2020-06-21
23,False,2020-06-28
33,False,2020-07-05
24,False,2020-07-12
22,False,2020-07-19
22,False,2020-07-26
22,False,2020-08-02
14,False,2020-08-09
19,False,2020-08-16
42,False,2020-08-23
100,True,2020-08-30
