i want to die,isPartial,date
90,False,2019-09-08
30,False,2019-09-15
0,False,2019-09-22
30,False,2019-09-29
61,False,2019-10-06
30,False,2019-10-13
30,False,2019-10-20
61,False,2019-10-27
0,False,2019-11-03
29,False,2019-11-10
59,False,2019-11-17
31,False,2019-11-24
39,False,2019-12-01
60,False,2019-12-08
31,False,2019-12-15
66,False,2019-12-22
31,False,2019-12-29
29,False,2020-01-05
0,False,2020-01-12
87,False,2020-01-19
56,False,2020-01-26
28,False,2020-02-02
56,False,2020-02-09
0,False,2020-02-16
36,False,2020-02-23
35,False,2020-03-01
27,False,2020-03-08
27,False,2020-03-15
38,False,2020-03-22
76,False,2020-03-29
26,False,2020-04-05
26,False,2020-04-12
24,False,2020-04-19
50,False,2020-04-26
25,False,2020-05-03
51,False,2020-05-10
50,False,2020-05-17
51,False,2020-05-24
26,False,2020-05-31
100,False,2020-06-07
39,False,2020-06-14
0,False,2020-06-21
28,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
29,False,2020-07-19
85,False,2020-07-26
84,False,2020-08-02
28,False,2020-08-09
0,False,2020-08-16
54,False,2020-08-23
0,True,2020-08-30
