suicidal thoughts,isPartial,date
30,False,2019-09-08
30,False,2019-09-15
30,False,2019-09-22
60,False,2019-09-29
40,False,2019-10-06
45,False,2019-10-13
59,False,2019-10-20
40,False,2019-10-27
29,False,2019-11-03
71,False,2019-11-10
0,False,2019-11-17
31,False,2019-11-24
29,False,2019-12-01
29,False,2019-12-08
60,False,2019-12-15
33,False,2019-12-22
31,False,2019-12-29
58,False,2020-01-05
0,False,2020-01-12
29,False,2020-01-19
0,False,2020-01-26
27,False,2020-02-02
28,False,2020-02-09
54,False,2020-02-16
35,False,2020-02-23
39,False,2020-03-01
41,False,2020-03-08
27,False,2020-03-15
38,False,2020-03-22
38,False,2020-03-29
77,False,2020-04-05
25,False,2020-04-12
47,False,2020-04-19
0,False,2020-04-26
33,False,2020-05-03
38,False,2020-05-10
49,False,2020-05-17
38,False,2020-05-24
100,False,2020-05-31
25,False,2020-06-07
51,False,2020-06-14
40,False,2020-06-21
41,False,2020-06-28
0,False,2020-07-05
42,False,2020-07-12
28,False,2020-07-19
28,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
37,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
