suicide,isPartial,date
68,False,2019-08-25
71,False,2019-09-01
100,False,2019-09-08
77,False,2019-09-15
78,False,2019-09-22
81,False,2019-09-29
78,False,2019-10-06
81,False,2019-10-13
78,False,2019-10-20
77,False,2019-10-27
68,False,2019-11-03
63,False,2019-11-10
67,False,2019-11-17
62,False,2019-11-24
67,False,2019-12-01
63,False,2019-12-08
58,False,2019-12-15
62,False,2019-12-22
60,False,2019-12-29
57,False,2020-01-05
65,False,2020-01-12
70,False,2020-01-19
69,False,2020-01-26
72,False,2020-02-02
72,False,2020-02-09
79,False,2020-02-16
70,False,2020-02-23
67,False,2020-03-01
61,False,2020-03-08
47,False,2020-03-15
55,False,2020-03-22
62,False,2020-03-29
60,False,2020-04-05
56,False,2020-04-12
55,False,2020-04-19
78,False,2020-04-26
62,False,2020-05-03
60,False,2020-05-10
58,False,2020-05-17
59,False,2020-05-24
65,False,2020-05-31
55,False,2020-06-07
74,False,2020-06-14
60,False,2020-06-21
65,False,2020-06-28
62,False,2020-07-05
65,False,2020-07-12
60,False,2020-07-19
59,False,2020-07-26
58,False,2020-08-02
58,False,2020-08-09
56,True,2020-08-16
