suicide attempt,isPartial,date
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
52,False,2019-09-29
53,False,2019-10-06
53,False,2019-10-13
52,False,2019-10-20
0,False,2019-10-27
51,False,2019-11-03
100,False,2019-11-10
51,False,2019-11-17
54,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
53,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
95,False,2020-01-12
50,False,2020-01-19
98,False,2020-01-26
48,False,2020-02-02
49,False,2020-02-09
47,False,2020-02-16
47,False,2020-02-23
0,False,2020-03-01
95,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
44,False,2020-03-29
90,False,2020-04-05
44,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
44,False,2020-05-10
43,False,2020-05-17
44,False,2020-05-24
0,False,2020-05-31
44,False,2020-06-07
45,False,2020-06-14
0,False,2020-06-21
95,False,2020-06-28
48,False,2020-07-05
98,False,2020-07-12
50,False,2020-07-19
49,False,2020-07-26
0,False,2020-08-02
49,False,2020-08-09
49,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
