suicide help,isPartial,date
41,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
41,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
41,False,2019-10-20
42,False,2019-10-27
0,False,2019-11-03
39,False,2019-11-10
0,False,2019-11-17
42,False,2019-11-24
39,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
42,False,2019-12-29
40,False,2020-01-05
37,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
74,False,2020-02-16
0,False,2020-02-23
36,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
35,False,2020-03-22
35,False,2020-03-29
35,False,2020-04-05
35,False,2020-04-12
55,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
34,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
36,False,2020-06-14
36,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
38,False,2020-07-19
38,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
100,True,2020-08-23
