suicide prevention,isPartial,date
47,False,2019-08-25
37,False,2019-09-01
100,False,2019-09-08
37,False,2019-09-15
37,False,2019-09-22
18,False,2019-09-29
19,False,2019-10-06
36,False,2019-10-13
27,False,2019-10-20
18,False,2019-10-27
18,False,2019-11-03
18,False,2019-11-10
27,False,2019-11-17
28,False,2019-11-24
18,False,2019-12-01
18,False,2019-12-08
19,False,2019-12-15
20,False,2019-12-22
19,False,2019-12-29
17,False,2020-01-05
66,False,2020-01-12
17,False,2020-01-19
34,False,2020-01-26
17,False,2020-02-02
17,False,2020-02-09
33,False,2020-02-16
0,False,2020-02-23
16,False,2020-03-01
41,False,2020-03-08
0,False,2020-03-15
23,False,2020-03-22
0,False,2020-03-29
24,False,2020-04-05
31,False,2020-04-12
29,False,2020-04-19
15,False,2020-04-26
15,False,2020-05-03
31,False,2020-05-10
0,False,2020-05-17
31,False,2020-05-24
15,False,2020-05-31
15,False,2020-06-07
32,False,2020-06-14
16,False,2020-06-21
17,False,2020-06-28
17,False,2020-07-05
0,False,2020-07-12
17,False,2020-07-19
17,False,2020-07-26
0,False,2020-08-02
17,False,2020-08-09
30,True,2020-08-16
