commit suicide,isPartial,date
54,False,2019-09-08
59,False,2019-09-15
49,False,2019-09-22
41,False,2019-09-29
24,False,2019-10-06
36,False,2019-10-13
26,False,2019-10-20
68,False,2019-10-27
46,False,2019-11-03
37,False,2019-11-10
49,False,2019-11-17
45,False,2019-11-24
43,False,2019-12-01
50,False,2019-12-08
30,False,2019-12-15
33,False,2019-12-22
62,False,2019-12-29
38,False,2020-01-05
45,False,2020-01-12
68,False,2020-01-19
42,False,2020-01-26
61,False,2020-02-02
50,False,2020-02-09
48,False,2020-02-16
73,False,2020-02-23
34,False,2020-03-01
36,False,2020-03-08
18,False,2020-03-15
52,False,2020-03-22
26,False,2020-03-29
33,False,2020-04-05
21,False,2020-04-12
37,False,2020-04-19
41,False,2020-04-26
51,False,2020-05-03
17,False,2020-05-10
30,False,2020-05-17
39,False,2020-05-24
55,False,2020-05-31
53,False,2020-06-07
56,False,2020-06-14
32,False,2020-06-21
46,False,2020-06-28
37,False,2020-07-05
67,False,2020-07-12
57,False,2020-07-19
50,False,2020-07-26
42,False,2020-08-02
29,False,2020-08-09
42,False,2020-08-16
33,False,2020-08-23
100,True,2020-08-30
