how to kill yourself,isPartial,date
53,False,2019-09-22
27,False,2019-09-29
28,False,2019-10-06
27,False,2019-10-13
0,False,2019-10-20
56,False,2019-10-27
27,False,2019-11-03
38,False,2019-11-10
26,False,2019-11-17
0,False,2019-11-24
51,False,2019-12-01
79,False,2019-12-08
27,False,2019-12-15
29,False,2019-12-22
41,False,2019-12-29
25,False,2020-01-05
24,False,2020-01-12
51,False,2020-01-19
38,False,2020-01-26
25,False,2020-02-02
64,False,2020-02-09
26,False,2020-02-16
49,False,2020-02-23
24,False,2020-03-01
24,False,2020-03-08
0,False,2020-03-15
34,False,2020-03-22
22,False,2020-03-29
58,False,2020-04-05
23,False,2020-04-12
44,False,2020-04-19
22,False,2020-04-26
34,False,2020-05-03
34,False,2020-05-10
45,False,2020-05-17
0,False,2020-05-24
43,False,2020-05-31
0,False,2020-06-07
23,False,2020-06-14
24,False,2020-06-21
73,False,2020-06-28
50,False,2020-07-05
26,False,2020-07-12
38,False,2020-07-19
50,False,2020-07-26
25,False,2020-08-02
25,False,2020-08-09
49,False,2020-08-16
74,False,2020-08-23
24,False,2020-08-30
70,False,2020-09-06
100,True,2020-09-13
