i want to die,isPartial,date
38,False,2019-09-22
20,False,2019-09-29
60,False,2019-10-06
39,False,2019-10-13
40,False,2019-10-20
100,False,2019-10-27
58,False,2019-11-03
28,False,2019-11-10
37,False,2019-11-17
19,False,2019-11-24
18,False,2019-12-01
19,False,2019-12-08
19,False,2019-12-15
32,False,2019-12-22
20,False,2019-12-29
0,False,2020-01-05
34,False,2020-01-12
37,False,2020-01-19
18,False,2020-01-26
18,False,2020-02-02
46,False,2020-02-09
47,False,2020-02-16
53,False,2020-02-23
34,False,2020-03-01
26,False,2020-03-08
43,False,2020-03-15
50,False,2020-03-22
41,False,2020-03-29
34,False,2020-04-05
50,False,2020-04-12
63,False,2020-04-19
24,False,2020-04-26
49,False,2020-05-03
41,False,2020-05-10
24,False,2020-05-17
25,False,2020-05-24
47,False,2020-05-31
16,False,2020-06-07
25,False,2020-06-14
17,False,2020-06-21
17,False,2020-06-28
27,False,2020-07-05
19,False,2020-07-12
65,False,2020-07-19
18,False,2020-07-26
36,False,2020-08-02
18,False,2020-08-09
36,False,2020-08-16
54,False,2020-08-23
18,False,2020-08-30
34,False,2020-09-06
72,True,2020-09-13
