suicidal,isPartial,date
54,False,2019-09-08
54,False,2019-09-15
45,False,2019-09-22
53,False,2019-09-29
61,False,2019-10-06
74,False,2019-10-13
75,False,2019-10-20
57,False,2019-10-27
58,False,2019-11-03
68,False,2019-11-10
56,False,2019-11-17
61,False,2019-11-24
84,False,2019-12-01
73,False,2019-12-08
55,False,2019-12-15
93,False,2019-12-22
72,False,2019-12-29
57,False,2020-01-05
93,False,2020-01-12
100,False,2020-01-19
57,False,2020-01-26
69,False,2020-02-02
75,False,2020-02-09
79,False,2020-02-16
97,False,2020-02-23
71,False,2020-03-01
97,False,2020-03-08
51,False,2020-03-15
58,False,2020-03-22
62,False,2020-03-29
64,False,2020-04-05
68,False,2020-04-12
45,False,2020-04-19
57,False,2020-04-26
67,False,2020-05-03
57,False,2020-05-10
51,False,2020-05-17
63,False,2020-05-24
49,False,2020-05-31
60,False,2020-06-07
52,False,2020-06-14
60,False,2020-06-21
47,False,2020-06-28
85,False,2020-07-05
58,False,2020-07-12
49,False,2020-07-19
69,False,2020-07-26
68,False,2020-08-02
65,False,2020-08-09
45,False,2020-08-16
71,False,2020-08-23
30,True,2020-08-30
