suicidal thoughts,isPartial,date
35,False,2019-09-08
67,False,2019-09-15
26,False,2019-09-22
74,False,2019-09-29
28,False,2019-10-06
100,False,2019-10-13
55,False,2019-10-20
28,False,2019-10-27
40,False,2019-11-03
65,False,2019-11-10
26,False,2019-11-17
40,False,2019-11-24
51,False,2019-12-01
40,False,2019-12-08
36,False,2019-12-15
58,False,2019-12-22
55,False,2019-12-29
0,False,2020-01-05
64,False,2020-01-12
60,False,2020-01-19
25,False,2020-01-26
51,False,2020-02-02
25,False,2020-02-09
26,False,2020-02-16
0,False,2020-02-23
48,False,2020-03-01
40,False,2020-03-08
48,False,2020-03-15
46,False,2020-03-22
23,False,2020-03-29
59,False,2020-04-05
57,False,2020-04-12
29,False,2020-04-19
44,False,2020-04-26
23,False,2020-05-03
45,False,2020-05-10
34,False,2020-05-17
58,False,2020-05-24
43,False,2020-05-31
33,False,2020-06-07
23,False,2020-06-14
36,False,2020-06-21
37,False,2020-06-28
50,False,2020-07-05
39,False,2020-07-12
25,False,2020-07-19
68,False,2020-07-26
38,False,2020-08-02
25,False,2020-08-09
25,False,2020-08-16
50,False,2020-08-23
89,True,2020-08-30
