suicidality,isPartial,date
43,False,2019-08-25
48,False,2019-09-01
90,False,2019-09-08
58,False,2019-09-15
59,False,2019-09-22
61,False,2019-09-29
52,False,2019-10-06
100,False,2019-10-13
72,False,2019-10-20
47,False,2019-10-27
64,False,2019-11-03
76,False,2019-11-10
55,False,2019-11-17
36,False,2019-11-24
64,False,2019-12-01
53,False,2019-12-08
50,False,2019-12-15
31,False,2019-12-22
25,False,2019-12-29
52,False,2020-01-05
58,False,2020-01-12
37,False,2020-01-19
59,False,2020-01-26
51,False,2020-02-02
61,False,2020-02-09
73,False,2020-02-16
91,False,2020-02-23
53,False,2020-03-01
47,False,2020-03-08
52,False,2020-03-15
34,False,2020-03-22
55,False,2020-03-29
43,False,2020-04-05
50,False,2020-04-12
52,False,2020-04-19
58,False,2020-04-26
43,False,2020-05-03
47,False,2020-05-10
37,False,2020-05-17
57,False,2020-05-24
33,False,2020-05-31
39,False,2020-06-07
53,False,2020-06-14
47,False,2020-06-21
34,False,2020-06-28
62,False,2020-07-05
69,False,2020-07-12
57,False,2020-07-19
51,False,2020-07-26
57,False,2020-08-02
44,False,2020-08-09
31,True,2020-08-16
