suicide,isPartial,date
56,False,2019-08-25
64,False,2019-09-01
100,False,2019-09-08
77,False,2019-09-15
65,False,2019-09-22
67,False,2019-09-29
64,False,2019-10-06
84,False,2019-10-13
75,False,2019-10-20
66,False,2019-10-27
62,False,2019-11-03
60,False,2019-11-10
68,False,2019-11-17
64,False,2019-11-24
62,False,2019-12-01
53,False,2019-12-08
53,False,2019-12-15
59,False,2019-12-22
57,False,2019-12-29
61,False,2020-01-05
60,False,2020-01-12
68,False,2020-01-19
61,False,2020-01-26
61,False,2020-02-02
70,False,2020-02-09
71,False,2020-02-16
63,False,2020-02-23
61,False,2020-03-01
46,False,2020-03-08
45,False,2020-03-15
47,False,2020-03-22
59,False,2020-03-29
52,False,2020-04-05
50,False,2020-04-12
49,False,2020-04-19
68,False,2020-04-26
63,False,2020-05-03
50,False,2020-05-10
54,False,2020-05-17
57,False,2020-05-24
54,False,2020-05-31
51,False,2020-06-07
76,False,2020-06-14
61,False,2020-06-21
56,False,2020-06-28
59,False,2020-07-05
54,False,2020-07-12
50,False,2020-07-19
59,False,2020-07-26
51,False,2020-08-02
51,False,2020-08-09
52,True,2020-08-16
