violent,isPartial,date
28,False,2019-09-08
28,False,2019-09-15
30,False,2019-09-22
30,False,2019-09-29
29,False,2019-10-06
39,False,2019-10-13
31,False,2019-10-20
30,False,2019-10-27
30,False,2019-11-03
31,False,2019-11-10
32,False,2019-11-17
26,False,2019-11-24
30,False,2019-12-01
30,False,2019-12-08
26,False,2019-12-15
21,False,2019-12-22
24,False,2019-12-29
26,False,2020-01-05
28,False,2020-01-12
29,False,2020-01-19
30,False,2020-01-26
29,False,2020-02-02
32,False,2020-02-09
32,False,2020-02-16
33,False,2020-02-23
32,False,2020-03-01
28,False,2020-03-08
26,False,2020-03-15
28,False,2020-03-22
30,False,2020-03-29
28,False,2020-04-05
30,False,2020-04-12
31,False,2020-04-19
32,False,2020-04-26
32,False,2020-05-03
29,False,2020-05-10
28,False,2020-05-17
47,False,2020-05-24
100,False,2020-05-31
50,False,2020-06-07
41,False,2020-06-14
37,False,2020-06-21
33,False,2020-06-28
32,False,2020-07-05
29,False,2020-07-12
36,False,2020-07-19
35,False,2020-07-26
27,False,2020-08-02
27,False,2020-08-09
29,False,2020-08-16
35,False,2020-08-23
43,True,2020-08-30
