violence,isPartial,date
38,False,2019-09-08
38,False,2019-09-15
37,False,2019-09-22
42,False,2019-09-29
44,False,2019-10-06
42,False,2019-10-13
38,False,2019-10-20
35,False,2019-10-27
40,False,2019-11-03
34,False,2019-11-10
40,False,2019-11-17
29,False,2019-11-24
37,False,2019-12-01
34,False,2019-12-08
25,False,2019-12-15
20,False,2019-12-22
28,False,2019-12-29
27,False,2020-01-05
34,False,2020-01-12
33,False,2020-01-19
35,False,2020-01-26
35,False,2020-02-02
40,False,2020-02-09
33,False,2020-02-16
40,False,2020-02-23
39,False,2020-03-01
34,False,2020-03-08
26,False,2020-03-15
29,False,2020-03-22
31,False,2020-03-29
40,False,2020-04-05
39,False,2020-04-12
35,False,2020-04-19
38,False,2020-04-26
33,False,2020-05-03
32,False,2020-05-10
31,False,2020-05-17
47,False,2020-05-24
100,False,2020-05-31
45,False,2020-06-07
38,False,2020-06-14
36,False,2020-06-21
38,False,2020-06-28
38,False,2020-07-05
32,False,2020-07-12
37,False,2020-07-19
33,False,2020-07-26
40,False,2020-08-02
32,False,2020-08-09
39,False,2020-08-16
40,False,2020-08-23
53,True,2020-08-30
