psychosis,isPartial,date
34,False,2019-09-08
67,False,2019-09-15
33,False,2019-09-22
45,False,2019-09-29
69,False,2019-10-06
86,False,2019-10-13
34,False,2019-10-20
33,False,2019-10-27
84,False,2019-11-03
49,False,2019-11-10
99,False,2019-11-17
0,False,2019-11-24
50,False,2019-12-01
45,False,2019-12-08
46,False,2019-12-15
0,False,2019-12-22
89,False,2019-12-29
33,False,2020-01-05
31,False,2020-01-12
64,False,2020-01-19
63,False,2020-01-26
64,False,2020-02-02
43,False,2020-02-09
79,False,2020-02-16
51,False,2020-02-23
51,False,2020-03-01
32,False,2020-03-08
31,False,2020-03-15
44,False,2020-03-22
42,False,2020-03-29
43,False,2020-04-05
41,False,2020-04-12
56,False,2020-04-19
57,False,2020-04-26
56,False,2020-05-03
29,False,2020-05-10
60,False,2020-05-17
46,False,2020-05-24
31,False,2020-05-31
31,False,2020-06-07
64,False,2020-06-14
76,False,2020-06-21
67,False,2020-06-28
43,False,2020-07-05
65,False,2020-07-12
100,False,2020-07-19
85,False,2020-07-26
45,False,2020-08-02
33,False,2020-08-09
33,False,2020-08-16
32,False,2020-08-23
0,True,2020-08-30
