violence,isPartial,date
29,False,2019-08-25
63,False,2019-09-01
39,False,2019-09-08
48,False,2019-09-15
69,False,2019-09-22
43,False,2019-09-29
55,False,2019-10-06
57,False,2019-10-13
60,False,2019-10-20
45,False,2019-10-27
49,False,2019-11-03
36,False,2019-11-10
45,False,2019-11-17
43,False,2019-11-24
51,False,2019-12-01
40,False,2019-12-08
48,False,2019-12-15
21,False,2019-12-22
29,False,2019-12-29
34,False,2020-01-05
47,False,2020-01-12
36,False,2020-01-19
54,False,2020-01-26
50,False,2020-02-02
41,False,2020-02-09
41,False,2020-02-16
39,False,2020-02-23
83,False,2020-03-01
47,False,2020-03-08
23,False,2020-03-15
22,False,2020-03-22
40,False,2020-03-29
40,False,2020-04-05
47,False,2020-04-12
42,False,2020-04-19
50,False,2020-04-26
53,False,2020-05-03
17,False,2020-05-10
24,False,2020-05-17
63,False,2020-05-24
100,False,2020-05-31
60,False,2020-06-07
46,False,2020-06-14
51,False,2020-06-21
42,False,2020-06-28
32,False,2020-07-05
46,False,2020-07-12
45,False,2020-07-19
34,False,2020-07-26
40,False,2020-08-02
43,False,2020-08-09
56,True,2020-08-16
