Query,Order
commit suicide,"(1, 0, 0)"
how to commit suicide,"(1, 0, 0)"
how to hang yourself,"(0, 0, 0)"
how to kill yourself -ark -minecraft -rust,"(0, 0, 0)"
how to suicide,"(1, 0, 0)"
i want to die,"(3, 0, 0)"
suicidal,"(0, 1, 0)"
suicidal ideation,"(1, 1, 1)"
suicidal thoughts,"(0, 1, 1)"
suicidality,"(1, 0, 1)"
suicide -squad,"(0, 1, 2)"
suicide attempt,"(0, 0, 0)"
suicide forum,"(0, 0, 0)"
suicide helpline,"(0, 1, 1)"
suicide hotline,"(1, 0, 0)"
suicide methods + suicide method,"(0, 1, 1)"
suicide prevention,"(1, 0, 0)"
