query,value
personality disorder,100
bipolar,64
bipolar disorder,63
eating disorder,43
anxiety disorder,43
anxiety,43
borderline personality disorder,43
borderline disorder,43
mental disorder,24
disorder definition,15
depression,15
dissociative disorder,14
depressive disorder,14
narcissistic,13
narcissistic personality disorder,13
identity disorder,13
processing disorder,12
mood disorder,11
autism,11
dissociative identity disorder,11
sleep disorder,10
major depressive disorder,10
dsm 5,10
panic disorder,10
schizoaffective disorder,10
