query,value
medication for anxiety,100
best anxiety medication,33
depression anxiety medication,30
depression medication,30
depression,30
anti anxiety,30
anti anxiety medication,29
best medication for anxiety,21
anxiety and depression,21
depression and anxiety medication,20
medication for depression,16
anxiety medication side effects,16
anxiety disorder medication,15
anxiety disorder,14
medication for depression and anxiety,13
anxiety medications,12
anxiety meds,11
over the counter anxiety medication,10
anxiety symptoms,10
anxiety medicine,10
xanax,10
zoloft,9
lexapro,8
anxiety attack,8
dog anxiety,8
